RegionRank	Rank	Name	Rating
47	193	波克飞机	1740.132
77	252	露露♪	1725.708
173	425	云荒皓月	1700.017
182	440	20亮亮	1697.818
213	497	Mel	1690.078
214	500	莉莉艾	1689.835
254	575	圆滚滚电刺猬	1680.868
262	586	Well	1679.785
278	622	LTL	1675.677
328	722	不讲伍德	1667.311
382	824	江泽香菜	1661.416
401	866	古力鸭	1658.485
422	902	多多	1656.119
462	978	筱	1652.636
477	1007	威廉	1650.813
489	1025	小肥仔圆圆	1649.861
494	1037	呐是一道光	1649.04
509	1072	夜羽	1646.886
560	1184	唯伍德馨	1640.599
612	1297	应愔	1635.116
631	1328	小鳥遊六花	1633.468
634	1334	紺野木綿季	1633.25
666	1399	Miacc	1630.027
690	1449	星	1627.578
747	1561	折木	1622.767
969	2013	手抖	1607.435
977	2024	库洛伊史迪克	1607.141
982	2029	人生赢家	1607.005
994	2048	思	1606.632
1003	2072	大橘猫	1605.969
1025	2111	cbh013	1605.171
1028	2115	NanAaA	1604.99
1052	2169	日日	1603.349
1063	2198	浩文	1602.507
1069	2216	瑾焕	1602.137
1135	2350	Dio	1598.175
1185	2432	加奈	1595.196
1191	2446	卜卜	1594.831
1208	2483	楓可憐 ♪	1593.349
1234	2532	铁螯龙虾侠	1591.512
1235	2536	暖浠	1591.41
1283	2631	妖狐	1588.623
1287	2640	Kars	1588.437
1302	2664	天难忱斯	1587.787
1306	2671	Koga	1587.7
1329	2717	肘子	1586.413
1344	2741	Dean H	1585.97
1357	2761	lily	1585.318
1393	2819	薄荷味汽水	1583.575
1449	2923	伊藤峻峻	1580.7
1491	2997	蓝宝石	1579.349
1546	3090	泽口零	1577.44
1626	3245	Handy	1574.25
1630	3258	Teio	1573.911
1656	3308	书中自有烤肉	1572.764
1764	3526	仲玉玲珑	1568.465
1813	3622	贼眉	1566.23
1831	3653	Lau	1565.529
1847	3694	喵酱	1564.49
1850	3698	Eazert	1564.413
1887	3768	法老	1562.801
1914	3823	RayS	1561.88
1927	3849	流浪	1561.47
1952	3893	医学生侠水菌	1560.72
1961	3912	Kys	1560.391
1970	3928	火鱼	1560.162
1985	3961	hikari	1559.476
2026	4037	小仙女	1558.099
2048	4074	龙轩墨羽	1557.475
2053	4087	莉可酱的喵哈	1557.249
2064	4109	清风	1556.706
2069	4114	比卡超电击	1556.632
2075	4122	Max	1556.531
2088	4150	和	1555.928
2098	4167	贝雷丝	1555.632
2100	4175	佳杰	1555.424
2118	4220	雪米	1554.684
2120	4223	南风沐夏	1554.643
2126	4238	Ivan	1554.481
2131	4244	Alex	1554.362
2154	4284	fatty^	1553.698
2181	4345	冷汐	1552.486
2224	4439	三海	1550.714
2228	4449	Hunter	1550.623
2235	4459	有顶天人	1550.427
2295	4588	懒懒虫	1548.627
2313	4619	弦音	1548.236
2337	4651	kikun	1547.899
2348	4679	喵帕斯	1547.543
2349	4680	等不到天黑	1547.521
2360	4704	SHeart	1547.102
2396	4762	猴头菇	1546.185
2419	4805	凡洛	1545.634
2426	4817	Jumboo	1545.552
2431	4823	101	1545.457
2439	4845	大吾	1545.184
2452	4868	Sxyy	1544.962
2459	4879	哩哩♥	1544.835
2492	4947	圣彌格	1543.894
2496	4955	kakuku	1543.759
2510	4981	Lillie	1543.498
2542	5037	雨宫莲	1542.753
2552	5060	Craig	1542.408
2578	5104	唱跳rap	1541.678
2597	5143	硕把拔	1541.222
2672	5287	Mikey6	1538.867
2718	5371	冻冻	1537.636
2729	5399	Opsia	1537.346
2768	5484	阔烁	1536.201
2830	5597	小e	1534.497
2878	5680	Asuka	1533.335
2881	5687	amiya	1533.223
2882	5688	无话	1533.221
2920	5755	米立潔	1532.327
2930	5766	一脚去	1532.185
2984	5874	方	1530.737
2985	5876	Tora	1530.732
3002	5909	Violet	1530.25
3017	5933	捕虫少年	1529.815
3018	5934	赛蕾丝提尔	1529.814
3025	5945	萃瓜	1529.629
3032	5966	雷寂9	1529.331
3059	6011	泥啪	1528.819
3081	6064	wlg	1528.164
3082	6067	折木ho太郎	1528.129
3086	6077	Z	1528.007
3088	6081	渡鸦	1527.944
3090	6087	牧也	1527.907
3091	6088	zexor	1527.887
3113	6138	许愿星	1527.428
3125	6164	ivor	1527.074
3160	6227	sammy	1526.172
3173	6249	kuroka	1525.998
3189	6284	Jason	1525.557
3190	6284	李傻奇	1525.557
3213	6328	虹之祝福	1524.941
3231	6361	K9999	1524.488
3233	6368	日奈森亚梦	1524.246
3269	6438	陈凯	1523.192
3274	6447	灵阳	1523.087
3299	6508	南宫问天	1522.251
3307	6522	athrun	1522.015
3308	6522	喝水侠	1522.015
3315	6536	半仙刀刀	1521.846
3338	6577	小春	1521.357
3369	6632	朱国瑞	1520.613
3379	6661	垣辉	1520.319
3383	6672	小风	1520.234
3389	6682	西湖雪舞	1520.118
3454	6810	花譜	1519.056
3476	6852	球球	1518.661
3484	6863	梦幻谷vV	1518.557
3494	6884	洗具李	1518.424
3498	6890	Joker	1518.388
3501	6898	伊地知虹夏	1518.309
3555	6998	姉崎みきり	1517.368
3566	7018	Rest	1517.207
3569	7026	妮妮	1517.164
3603	7096	咲夜	1516.601
3617	7123	丹妮	1516.396
3620	7129	小钱叫兽	1516.314
3630	7144	YWZ	1516.192
3636	7155	Gloria	1516.097
3663	7196	琛琛	1515.81
3677	7228	围巾火暴兽	1515.577
3682	7239	西陆	1515.503
3686	7244	765	1515.47
3691	7251	漫天	1515.426
3707	7281	天一	1515.18
3718	7300	莉可	1515.024
3722	7308	烈厨唐坤	1514.987
3727	7321	Leon	1514.943
3740	7340	阿尔比恩	1514.788
3762	7376	灯灯	1514.498
3791	7434	筱枫	1514.189
3807	7464	Eve	1514.028
3820	7489	记录指针	1513.838
3827	7499	Naxx的猫	1513.762
3832	7504	莉莉艾	1513.709
3837	7511	江夜	1513.642
3838	7513	阿豪	1513.634
3839	7515	Veder	1513.608
3841	7517	樱与报月	1513.599
3849	7528	诺亚	1513.453
3853	7533	鲸落	1513.413
3867	7558	布丁威威	1513.206
3869	7560	红心K	1513.177
3889	7591	summer	1512.93
3914	7636	咕哒Niko	1512.505
3939	7687	扰乱	1512.035
3943	7697	小樱	1511.928
3951	7707	Zone	1511.776
3974	7759	椰果	1511.315
3980	7765	Wendy	1511.213
3985	7771	QMC	1511.136
3991	7783	hyc	1511.031
4055	7902	诺亚	1509.83
4062	7913	半缘君	1509.701
4091	7987	amoon	1508.893
4134	8079	冷涵	1507.761
4150	8107	牛牛DL	1507.447
4203	8198	空白	1506.526
4227	8240	某	1506.02
4233	8247	Reiki	1505.965
4257	8288	渊华	1505.538
4259	8292	汐沐	1505.485
4260	8293	yux	1505.48
4295	8343	伟伟王	1505.096
4303	8357	千夜	1504.999
4308	8366	Pika	1504.871
4327	8396	海龙	1504.589
4336	8412	看你的微笑	1504.382
4356	8443	冬雪莲	1504.058
4397	8521	奈子	1503.314
4399	8523	Lily	1503.3
4418	8557	卢本伟nb	1502.964
4422	8561	miko	1502.907
4427	8569	po_熊崽崽	1502.799
4430	8577	塞尔莱菲	1502.754
4444	8604	冷珂珂	1502.518
4494	8688	alexis	1501.824
4495	8689	代后	1501.822
4527	8741	dream	1501.374
4536	8753	十六夜咲夜	1501.305
4540	8757	。。。。。。	1501.274
4567	8799	菲鲁恩你不准	1500.884
4574	8823	枫晗	1500.701
4584	8836	Rocio	1500.623
4585	8837	小青	1500.615
4615	8888	艾伦	1500.165
4616	8892	小羽	1500.125
4628	8916	陈将军	1499.95
4634	8932	luffy	1499.816
4637	8937	hust	1499.787
4659	8974	卡璞铭铭	1499.533
4670	8990	小鹿乱撞	1499.402
4677	8999	小泽	1499.319
4683	9008	Angla	1499.212
4694	9035	莉梨埃	1498.953
4698	9042	小史	1498.846
4701	9046	DK龙仔	1498.814
4730	9091	王小芳	1498.421
4731	9092	明前奶绿	1498.405
4734	9098	杰	1498.375
4752	9122	绝剑	1498.112
4759	9132	Su	1497.976
4763	9141	Jolyne	1497.949
4768	9151	轲轲	1497.854
4773	9157	陳	1497.736
4781	9171	LX	1497.603
4784	9175	小须	1497.562
4796	9196	郭德纲	1497.36
4798	9198	萌萌哒阿帅	1497.348
4809	9217	三叶	1497.18
4813	9221	宋哈娜	1497.162
4860	9299	时伊	1496.254
4865	9308	三日月之舞	1496.109
4870	9314	Arashi	1496.056
4881	9332	暗凯	1495.888
4890	9346	♡奶糖花♥	1495.709
4903	9370	小居居	1495.423
4913	9388	小青	1495.287
4971	9501	loon	1493.998
4983	9524	凜	1493.632
4986	9529	逆	1493.58
5009	9571	山河	1493.001
