RegionRank	Rank	Name	Rating
5	5	PP	1796.626
18	42	Syuan	1766.705
141	360	笨牛肉	1707.394
269	599	彌豆子嫩大腿	1677.858
389	846	YuWei	1660.025
628	1321	Ridva	1634.041
824	1723	Ellie	1616.406
899	1871	藍寶石	1611.32
920	1909	FKW	1610.411
947	1960	Jackie	1608.849
1007	2080	Venice	1605.845
1021	2101	洛克	1605.51
1117	2316	Weiss	1599.282
1133	2346	雷吉樂事	1598.259
1149	2374	五火VGC	1597.278
1389	2812	Tony	1583.873
1469	2952	Barry	1580.087
1552	3099	~♡莎崎♪~	1577.124
1589	3171	真夜	1575.638
1590	3173	HHL	1575.608
1596	3182	?	1575.488
1690	3380	blakki	1571.488
1706	3408	Vino	1570.829
1797	3596	Heidi♪	1566.806
1828	3647	kpachi	1565.628
1962	3913	sooong	1560.383
2036	4055	Mamori	1557.868
2057	4097	白金	1557.041
2196	4379	赫蘿	1551.94
2236	4461	呆頭鵝	1550.396
2271	4539	BBMan	1549.375
2279	4554	Bphyll	1549.182
2328	4637	結晶的帝王	1548.031
2344	4667	安東尼	1547.688
2345	4669	小矮仔	1547.673
2364	4709	揪愛拎奶茶	1547.047
2465	4890	溏心蛋肉壽司	1544.708
2476	4914	Wayne	1544.307
2558	5068	Andrew	1542.28
2560	5070	piao	1542.243
2585	5114	流川嵐	1541.54
2591	5129	金星醬油	1541.366
2605	5156	Anita	1540.992
2703	5349	Lewis	1538.033
2731	5401	宇智波齊寶	1537.307
2801	5542	石頭	1535.311
2841	5614	花生寶寶	1534.249
2843	5620	ILSIFA	1534.179
2864	5658	伊露	1533.6
2914	5743	Chenje	1532.505
2924	5759	huh	1532.279
2948	5807	MarCo	1531.591
2958	5823	kai	1531.454
2974	5853	Kakeru	1531.09
3092	6097	老蛋	1527.832
3135	6182	福瑪	1526.868
3140	6190	清風馬牛	1526.722
3359	6616	June	1520.864
3430	6758	Caber	1519.382
3526	6947	Jack	1517.935
3568	7023	歐罵瑪	1517.175
3629	7143	Minju	1516.197
3649	7177	寶可夢大濕	1515.915
3654	7184	WuLala	1515.885
3693	7253	Alex	1515.418
3752	7361	斯卡蕾特	1514.604
3760	7374	阿緯	1514.502
3769	7390	零黎	1514.413
