RegionRank	Rank	Name	Rating
1	1	N01AX10	1813.459
2	2	DeyTey	1811.162
3	3	Tucu	1809.1
6	6	Nikolaj_H	1796.624
7	7	6o4	1793.844
9	14	Shabarai	1779.117
10	15	Edu	1778.86
11	16	Dave	1777.331
12	19	Herlum	1773.37
14	29	Γ ı/- e:t	1770.001
15	32	PeoplesChamp	1769.102
16	35	Bibian	1767.804
17	41	Queiroz	1766.732
19	45	★Sanvy	1766.433
20	87	Calculus	1762.046
22	95	Dontaku	1760.663
23	99	Hawk 7	1760.413
26	119	SeaWolfMikes	1757.921
27	122	Plastic Love	1757.671
28	124	GREYSON	1757.579
30	137	ColdingLight	1756.687
31	149	KENNETH	1755.933
33	155	Trabje	1755.213
34	156	Teka	1755.156
35	158	botchkiss	1755.042
36	166	Max	1753.014
37	172	Neil	1749.811
38	174	Felipão	1749.483
39	176	FedeCampoVGC	1748.699
40	178	Scarlet	1748.472
42	182	Gio™	1746.82
43	183	C-Rad	1745.316
46	191	Yvar	1742.387
48	194	Scarlet	1739.296
49	199	Verona	1737.537
50	202	NKG2D	1736.629
53	208	TSE	1734.852
55	214	Jeremy	1734.216
56	215	Rizaya	1734.171
57	216	Dot1Q	1734.159
58	218	Lexicon	1733.969
59	219	Hoej	1732.982
60	220	illusion	1732.786
61	224	panda	1732.384
62	226	Lesnar	1732.335
63	227	Jacob	1732.056
64	230	Susej	1731.9
66	234	Geewee	1731.818
68	237	Fabius	1730.317
70	241	Santino	1728.685
71	242	Taran	1728.592
73	245	Kyle	1727.583
74	246	DoAMakiRoll	1727.481
75	248	Ale	1727.086
78	253	Kylan	1725.578
79	254	M4dxrx	1725.299
81	258	Polaris	1724.871
84	264	Raj	1722.723
85	267	SableyeVGC	1722.218
86	268	Toppo	1722.205
88	270	James	1722.087
89	271	BlueBreath	1721.504
92	277	River	1720.657
93	278	Jeff	1720.607
94	279	Gabriel	1720.397
95	281	David	1719.879
97	283	LookItUp	1719.244
98	284	Pudding	1719.178
100	290	Tamashi	1717.306
101	291	Hayasaka	1717.268
103	294	Jawnzu	1717.046
104	297	Sucia	1716.588
106	300	JuanCa	1716.25
107	301	Static	1715.88
110	306	Dimond>5	1715.015
111	307	Henves	1714.873
112	308	Aaron	1714.434
113	309	Vanity♥colon	1714.258
114	312	KairoshiiiTV	1713.58
115	316	Dany	1713.223
116	318	BCZero	1713.015
117	319	Zardines	1712.735
118	320	Pearl	1712.684
119	323	nerd of now	1711.793
120	325	Doug	1711.508
122	328	Grant	1711.209
124	331	cocona	1710.828
127	338	Moth	1710.184
128	339	Dylan	1709.878
129	342	SL1D	1709.765
130	345	Bruno boy	1709.194
132	348	NotRenzo	1709.021
133	349	Maddo	1708.867
134	351	PerishVGC	1708.764
135	353	Moise Kean	1708.654
136	354	Rehtycs	1708.558
138	356	charisma	1708.197
140	358	Kick	1707.989
142	362	SilentHubba	1707.138
144	367	NJ11	1706.608
145	368	NJB	1706.523
146	369	Tapusito	1706.296
148	374	Maie	1705.182
149	378	Essentia	1704.599
150	380	#1RalseiFan☆	1704.513
153	385	Nix	1703.975
154	386	Z	1703.973
156	392	Teenspirit	1703.453
160	396	goodwill	1703.146
161	397	Jag	1703.135
162	399	Zoro	1702.916
164	407	bwenty	1701.758
165	409	Mark	1701.615
166	411	Kurt	1701.56
168	416	Juan	1700.902
169	418	Tabu	1700.61
170	419	Colin	1700.521
171	422	Scott	1700.28
174	426	Idczaq	1699.991
175	427	Shawn	1699.637
176	429	LenVGC	1699.423
177	431	Caio	1699.13
179	435	Nick	1698.608
183	442	Joshua	1697.466
185	450	Liakos	1696.566
188	454	Who?	1695.73
189	455	♪Panda Gosu☆	1695.263
190	456	azick	1694.729
194	461	Xcyl	1694.084
195	462	Carla	1693.809
196	463	Ze Banded	1693.776
197	467	ck49	1693.352
200	470	Andrew	1693.014
201	471	Athed_Anachy	1692.81
202	473	Achilles	1692.651
203	475	Jogge	1692.205
208	486	Kremling	1691.361
210	493	PokeRaf	1690.536
211	495	Sean	1690.236
212	496	Rusbel	1690.231
216	504	Dan Kuso	1689.118
217	508	Annie	1688.115
218	509	boomngong	1687.983
219	510	Titan	1687.725
221	514	Jagfan45	1687.487
222	518	Yume	1687.12
223	519	Nils	1686.894
224	521	VOVOMAXBEN10	1686.726
225	522	Madison	1686.575
226	523	Gliscorsair	1686.564
227	524	Lelouch	1686.155
228	525	Maja	1685.957
229	527	Tom	1685.853
230	529	Jin Furai	1685.659
231	530	Atlas	1685.527
232	531	ShootingStar	1685.526
233	533	Pomelo	1685.353
234	534	Swamp	1685.324
235	535	Aria	1685.315
236	536	yx	1684.982
240	544	Sebastián	1683.842
241	545	raikoo	1683.803
242	548	Aizakkoo	1683.687
243	549	Hexicgon	1683.676
244	550	GonzAL-TH	1683.608
246	555	Boah	1683.138
247	558	matt!	1682.797
248	559	Jeet	1682.689
250	567	Zac	1681.852
251	571	blubghblub	1681.269
252	573	Michael	1681.082
253	574	Ash	1681.013
256	577	Bobjoecarl	1680.684
257	579	Judy	1680.568
258	580	Trogdor	1680.495
259	582	Mayoh	1680.452
261	585	Flan	1679.937
263	587	Alex	1679.628
264	589	Victor	1679.461
265	590	Montana	1679.267
266	591	Quatra	1679.194
267	593	Stephan	1678.813
270	602	Lee	1677.739
271	603	Angeló	1677.556
273	609	JON	1677.182
274	610	Buaa	1677.126
279	624	Inferno	1675.67
281	626	Don't Tilt	1675.565
282	627	LuziVGC	1675.564
286	633	EncoreVGC	1674.518
287	634	Jack	1674.283
288	636	Choco.Pau	1673.959
289	640	Dr. Necro	1673.677
291	644	Torviv	1673.458
293	647	Patrick	1673.064
294	649	Borsalino	1672.882
295	650	Kevin	1672.841
297	653	PqlarBear	1672.77
298	654	KINDERLEW	1672.338
301	665	Alex	1671.465
302	666	Ishan	1671.464
303	667	LEO	1671.402
304	669	Aleksandra	1671.151
305	670	Crown Up Boy	1671.092
306	671	Murhaf	1670.935
307	675	Hamstermania	1670.581
308	679	Justin	1670.28
309	680	Karim	1670.167
311	685	StreamSniper	1669.875
312	687	Jenkins	1669.671
313	694	Takami$Chika	1669.406
315	697	Zaid	1669.293
317	699	Geoff	1669.246
318	701	Raphael	1669.184
320	705	Matt	1668.772
321	706	peppe	1668.735
322	707	Sam	1668.664
323	709	Zack	1668.564
324	712	Joel	1668.157
325	719	Violet	1667.49
326	720	Dattebato	1667.488
327	721	DmanVGC	1667.452
329	723	sempra	1667.254
330	724	Kevin	1667.192
331	728	Nirinbo	1666.749
332	732	Joao Gogolla	1666.582
333	734	Kono	1666.478
335	736	Tob	1666.303
336	742	MaxMazzu	1665.719
337	743	Emirnent	1665.657
338	744	Sapo	1665.585
339	745	Andrew	1665.567
340	747	Wisedog	1665.363
341	750	Ciq	1665.335
342	751	William	1665.261
344	757	Artcar	1664.899
345	760	Mars	1664.868
346	761	Flygon	1664.81
348	763	Seph	1664.619
349	765	Logan	1664.543
350	770	JD	1664.28
353	774	Jocan	1664.158
354	775	Tenodera	1664.113
356	778	AlexVGC2001	1663.9
357	780	Simipour	1663.751
358	782	Plopy	1663.681
359	783	Haru	1663.604
360	785	DgC	1663.443
361	787	Chisato	1663.277
362	790	JoeUX9	1663.17
363	791	Chris	1663.161
364	792	Phil	1663.134
365	795	Fial	1663.056
366	798	John	1663.007
367	799	Judan	1662.988
369	802	Matin	1662.74
370	803	tako	1662.692
371	804	Nasri	1662.579
372	806	Braves	1662.467
373	807	Temple	1662.393
375	809	Arath	1662.312
376	810	TiggelWiggel	1662.268
377	811	Rayne	1662.262
378	814	Leozin	1662.091
379	816	Jojo	1662.004
381	822	Pliskinth	1661.602
383	830	Rinna♡Futaba	1661.136
384	832	Billi	1660.988
385	834	Suggy	1660.822
386	835	Dioxide	1660.784
388	845	TeclamonoTV	1660.044
391	848	Bodhi	1659.991
392	849	Gorl	1659.955
393	850	Victor	1659.893
399	862	SeeD	1658.827
402	867	KayDeeVGC	1658.441
403	868	ZAKI	1658.365
404	869	Turtle	1658.348
405	872	Zypotic	1658.155
406	873	Poké Parent	1658.122
411	881	Daviron	1657.366
412	882	Wes	1657.355
413	884	Skylighter	1657.288
414	887	Aaron	1656.995
415	888	Mano	1656.881
416	892	Melvilicious	1656.624
417	895	PokeMartyVGC	1656.531
418	898	DannyD	1656.314
419	899	Cameron	1656.311
421	901	Fuzz	1656.152
423	905	CybertronVGC	1655.746
424	907	Mike	1655.715
425	908	Ian	1655.704
426	909	IIINU	1655.658
427	911	Kostas	1655.461
428	912	Aaron	1655.424
429	913	nader	1655.411
430	914	knifes999	1655.394
431	917	Shiba-Max	1655.163
432	918	Sean	1655.138
435	923	Cotn	1654.979
437	928	TerraGlow	1654.91
438	929	The Legend	1654.851
441	936	Lexi	1654.545
442	937	Agni	1654.505
444	940	daii	1654.335
445	942	Zim	1654.301
446	945	Daniel	1654.208
447	946	Apneic	1654.151
448	947	Ryukei	1654.067
449	951	Kiwee	1653.944
450	954	Himmy Turner	1653.716
451	962	toraolao	1653.433
452	963	Mora Papi	1653.318
454	966	Eric	1653.184
455	968	Mawi	1653.04
456	969	Richie	1653.036
457	971	reezh	1652.947
458	972	El Niño	1652.93
459	973	Jai	1652.828
463	980	AaronC	1652.602
465	983	D3-RuL♪★	1652.451
