RegionRank	Rank	Name	Rating
4	4	Kangourou	1808.527
25	109	Érizabeth	1759.531
41	181	Flouflou	1747.047
67	235	LEO	1731.603
87	269	Shao	1722.176
155	391	Na3iM	1703.529
157	393	Thurmos	1703.446
172	424	Guacamou	1700.108
178	434	Gauthier	1698.659
280	625	Nuevobrillo	1675.6
334	735	Bouteille	1666.352
397	860	Theobalt	1659.053
480	1010	Dilaw	1650.757
490	1026	ApPy	1649.845
567	1203	Esther	1639.478
641	1345	Peter	1632.463
661	1389	Nelsiemon	1630.406
725	1514	Luard	1624.701
754	1573	Romy	1622.109
788	1644	Jé_	1619.352
798	1661	DricsVG	1618.816
869	1814	Karl	1613.346
871	1817	Kevin	1613.207
877	1832	TomBac	1612.7
879	1834	Fire	1612.635
883	1844	Courgettte	1612.352
907	1889	lenny	1611.016
925	1916	Maxime	1610.289
960	1986	Loïc	1608.057
972	2016	Antoinette	1607.355
988	2037	Pepou	1606.845
992	2046	Didi	1606.656
1017	2096	Miloshine	1605.626
1030	2123	Hadrien	1604.807
1058	2182	KidKat	1603.059
1132	2343	M1mi	1598.345
1136	2351	Jymann	1598.022
1178	2424	nicoaja	1595.512
1186	2435	Bob's	1595.151
1241	2549	DarkGold	1591.115
1318	2698	MagicKey$	1587.057
1429	2887	Marley	1581.72
1522	3048	Adnae	1578.344
1568	3130	Shiyo	1576.354
1570	3134	Antoine	1576.27
1624	3240	Ksomon	1574.346
1705	3406	EtheriaDelta	1570.83
1767	3531	Otekal	1568.347
1769	3535	Phantomatik	1568.231
1835	3663	Omar	1565.388
1878	3754	DmtTryMe	1563.062
1900	3795	Mathias	1562.47
1999	3994	Akwa	1558.949
2155	4290	Juni	1553.556
2234	4457	Noxhan	1550.454
2246	4482	Rems	1550.243
2277	4551	Toto	1549.23
2315	4623	Matth	1548.203
2333	4646	Balé	1547.917
2343	4660	Cyril	1547.813
2369	4718	otmane	1546.874
2429	4821	Ely	1545.508
2473	4907	Redemption	1544.364
2480	4919	Sals	1544.22
2514	4986	dylan menil	1543.46
2603	5151	Skye	1541.024
2613	5171	Malder	1540.79
2622	5188	Jacques	1540.6
2631	5213	Badera	1540.136
2685	5317	Brayz	1538.439
2698	5339	Baliana	1538.176
2711	5357	Lucius	1537.908
2717	5368	Kaworu	1537.68
2746	5444	Jimmy	1536.758
2780	5503	Kabura	1535.932
2795	5532	Armand	1535.465
