RegionRank	Rank	Name	Rating
32	151	Giottas	1755.66
52	207	Michi	1734.874
96	282	Sebixxl	1719.304
99	285	Fabi	1718.921
139	357	AngoVGC	1708.008
199	469	Jannik	1693.148
237	537	Daniel	1684.919
352	773	Sui	1664.168
390	847	Schmiddy	1660.005
475	1004	SiegEye	1651.278
487	1022	Snomnie	1649.994
536	1136	Pres	1642.717
545	1151	leilou	1641.922
555	1170	Hühnn	1641.152
575	1220	Flobert	1638.576
596	1269	NWE~Python	1636.3
616	1306	Choc	1634.728
646	1358	Louis	1631.811
689	1447	∴D◎ΜΙ∵	1627.606
696	1465	Doc	1626.975
756	1577	Ferhat	1621.92
812	1692	Henri	1617.564
828	1727	t-nizzle	1616.31
857	1785	Xemerron	1614.239
867	1808	Thunderpüssy	1613.541
872	1819	Luca	1613.182
880	1835	D	1612.63
884	1845	Simon	1612.28
914	1899	Adrian	1610.748
1078	2238	Flo	1601.406
1101	2288	Tilzy	1600.11
1139	2356	AdiDerBoss01	1597.958
1164	2402	Florian	1596.265
1166	2404	Ozan	1596.128
1181	2428	Sala335	1595.351
1212	2492	Alexander	1593.043
1222	2512	Nala	1592.348
1227	2521	Maikster	1591.914
1257	2583	Gostine	1590.292
1289	2642	Ryan	1588.424
1316	2693	Cactusmax	1587.147
1337	2730	Tijuana	1586.153
1365	2774	Noah	1584.859
1397	2824	Michilele	1583.442
1400	2827	Maxi	1583.421
1409	2843	Krad	1582.967
1411	2846	Lisa	1582.816
1414	2853	Paul	1582.648
1420	2866	Norin	1582.366
1427	2884	Sira	1581.926
1531	3063	Goldjunge	1577.871
1543	3082	Thunderlord	1577.554
1579	3153	Jojo	1575.954
1604	3206	Salvy	1575.048
1613	3219	Snow	1574.815
1616	3224	Dizz	1574.745
1658	3310	Karl	1572.754
1662	3321	Wolf	1572.522
1710	3412	robbe	1570.676
1719	3433	Nico	1570.454
1748	3493	Alex	1569.325
1752	3500	Hai	1569.127
1758	3511	Luke	1568.979
1784	3560	Fabi	1567.666
1786	3567	Auryn	1567.493
1799	3598	Tos	1566.724
1856	3712	Butters	1564.078
1864	3729	Marcel	1563.733
1891	3776	Lelom	1562.753
1922	3841	Tino	1561.651
1939	3868	Tobi	1561.169
1954	3900	Marin	1560.586
1975	3940	colspan	1559.846
1996	3982	Cedric	1559.14
2001	4001	J-san	1558.743
2041	4063	Skylla	1557.727
2052	4085	Nate	1557.278
2085	4145	Paul	1556.051
2112	4205	Fabi	1554.94
2128	4241	TractieVGC	1554.384
2159	4300	Porengan	1553.309
2232	4455	Singi	1550.489
2256	4508	Ares	1549.852
2285	4563	D	1549.083
2300	4597	Rafina	1548.492
2310	4614	Pat	1548.301
2334	4646	Sildurah	1547.917
2339	4653	Christopher	1547.876
2366	4712	Dome	1546.996
2368	4716	RidoElGringo	1546.932
2402	4774	CE7	1546.072
2489	4941	Alice	1543.949
2490	4943	Patrick	1543.939
2506	4974	Tom	1543.589
2557	5067	Erkanesto	1542.329
2563	5081	Don	1542.069
2589	5126	Juliner	1541.401
2592	5130	Cedric	1541.358
2645	5232	Juli203	1539.764
2663	5263	Darrox	1539.149
2665	5272	Maik	1539.055
2677	5302	Rico	1538.659
2690	5326	Karlsberg	1538.343
2708	5353	Paldea-Enty	1537.961
2721	5382	FwieFisch	1537.507
2748	5447	Yui	1536.721
2752	5454	KF	1536.637
2785	5513	Itachi	1535.754
2794	5525	Janik	1535.533
2831	5599	Justus	1534.451
2834	5602	Dante	1534.43
2836	5606	Nils	1534.406
2869	5663	Aarion	1533.539
2876	5678	Utopia	1533.374
2883	5689	PRIINC IX	1533.215
2907	5733	Kirin	1532.646
2916	5749	Ben	1532.435
2946	5800	Toni	1531.7
3115	6142	J4k0b	1527.391
3116	6143	Fabi	1527.384
3136	6183	brownM	1526.852
3176	6256	Marcel	1525.924
3194	6293	Deniz	1525.439
3196	6295	Tobi	1525.43
3207	6312	Dariush	1525.144
3225	6353	Erik	1524.627
3230	6360	KaPu	1524.529
3237	6375	Peter	1524.148
3334	6571	Gabri	1521.436
3336	6575	Dani	1521.38
3374	6650	Luky aq	1520.431
3395	6695	David K	1519.989
3396	6696	InfinitySD	1519.978
3405	6715	Choci	1519.81
3406	6716	Paleka	1519.806
3437	6776	Kira	1519.271
3438	6778	Tomas	1519.255
3469	6837	Nico	1518.804
3477	6853	Sam	1518.653
3518	6931	Berger	1518.064
3537	6965	Andi	1517.785
3578	7046	Christian	1516.973
3599	7088	trobuz	1516.689
3646	7168	Matthi	1515.989
3662	7195	kevin	1515.82
3673	7221	PICOLLO	1515.604
3711	7288	Naomi	1515.149
3715	7292	Eirik	1515.095
3735	7332	Swiftasy	1514.844
3744	7346	Sven	1514.739
3755	7368	LukasVGC	1514.532
3761	7375	peter	1514.499
3763	7377	gohan92	1514.494
3799	7448	Lukas	1514.121
3800	7451	Isshki	1514.108
3819	7489	Valerion	1513.838
3845	7524	anboxing	1513.535
3879	7578	QuiidaR	1512.996
3880	7579	Momo	1512.989
3887	7589	Benji	1512.936
3890	7592	Bianca	1512.922
3897	7599	Snackboy	1512.861
3898	7601	Gerry	1512.849
3912	7633	Olli	1512.568
3925	7661	David	1512.242
3976	7761	Danny	1511.291
3989	7780	Justin	1511.066
4005	7818	Xaver	1510.784
4017	7838	Chris	1510.609
4047	7889	Ciri	1510.009
4049	7892	Maschinokles	1509.963
4052	7897	G-Joker	1509.873
4053	7898	Tobi	1509.871
4139	8088	David	1507.634
4145	8098	El Uwu	1507.554
4170	8137	Marcel	1507.127
4201	8195	Jan	1506.544
4207	8202	Fabi	1506.508
4224	8235	Capri	1506.118
4238	8255	Adritaku	1505.834
4253	8283	Vossi	1505.558
4255	8286	MaCoe	1505.548
4298	8347	Mazarin	1505.07
4319	8383	Andrew	1504.719
4339	8416	Nils	1504.353
4342	8419	Jonas	1504.329
4382	8492	Nico	1503.585
4437	8590	Chrisbe	1502.638
4446	8606	Cedric	1502.505
4464	8634	Timeo	1502.306
4501	8700	BeckerVGC	1501.654
4508	8711	FoxTheOne	1501.572
4557	8783	Patrik	1501.024
4588	8840	Nessa	1500.584
4601	8863	Tobias	1500.394
4617	8895	Simon	1500.112
4619	8899	Gameboy	1500.068
4676	8998	Levin Ricco	1499.323
4699	9044	PeterG420	1498.832
4737	9101	Daniel	1498.351
4750	9118	Morris	1498.166
4753	9123	Maurizio	1498.108
