RegionRank	Rank	Name	Rating
1	8	AIアンセナ	1792.419
2	9	ナーク	1789.401
3	10	ロブロイ	1789.002
4	11	ラル	1788.999
5	12	バイオレット	1788.192
6	17	しおり	1776.385
7	18	サトゲコ	1773.417
8	20	バイオレット	1773.159
9	21	Grand	1772.692
10	22	RNAポリ2	1772.641
11	24	スカーレット	1772.335
12	25	おはな	1772.187
13	26	スカーレット	1770.959
14	27	スカーレット	1770.427
15	28	みょん	1770.262
16	30	みさかみこと	1769.696
17	31	えすにっと	1769.233
18	33	shin	1769.093
19	34	ウミユリ	1768.058
20	36	だいき	1767.636
21	37	ひかり*	1767.385
22	38	スカーレット	1767.365
23	39	ハクシュウ	1766.979
24	40	いちりんか	1766.946
25	43	エダニス	1766.595
26	44	スカーレット	1766.542
27	46	アルタ	1766.279
28	47	ナミ	1765.94
29	48	バイオレット	1765.936
30	49	レイ	1765.906
31	50	スカーレット	1765.847
32	51	チョコジロー	1765.829
33	52	アタゴ	1765.627
34	53	べにまる	1765.321
35	54	スカーレット	1765.316
36	55	ラン	1765.225
37	56	シン	1765.219
38	57	バイオレット	1764.964
39	58	ななみ	1764.881
40	59	ラン	1764.878
41	60	ゆうき	1764.742
42	61	Oy4m4	1764.436
43	62	バイオレット	1764.41
44	63	わンジャモ	1764.303
45	64	スカーレット	1764.106
46	65	バイオレット	1764.03
47	66	リア	1763.886
48	67	まひろん♀™	1763.823
49	68	アオイ	1763.799
50	69	スカーレット	1763.498
51	70	あっきゃ	1763.47
52	71	さとちん	1763.375
53	72	バイオレット	1763.198
54	73	ウルシフ	1763.179
55	74	のむら	1763.132
56	75	スカーレット	1762.942
57	76	White	1762.866
58	77	テル	1762.848
59	78	るいん	1762.823
60	79	ゆヌ	1762.759
61	80	キルナ	1762.75
62	81	とり。	1762.695
63	82	スカーレット	1762.648
64	83	けいすけ	1762.593
65	84	もっかん♪	1762.506
66	85	ファイナル	1762.418
67	86	バイオレット	1762.414
68	89	バイオレット	1761.851
69	90	あかね	1761.031
70	91	アンバー	1761.015
71	92	しゃち	1760.946
72	93	ちよこれいと	1760.89
73	94	シット	1760.775
74	96	スカーレット	1760.655
75	97	さとるんご	1760.617
76	98	バイオレット	1760.558
77	100	モルガン	1760.369
78	101	つゆだく	1760.156
79	103	でいとゆー	1760.088
80	104	しの	1760.073
81	105	スカーレット	1759.821
82	106	グリーン	1759.789
83	107	ビッグタクト	1759.736
84	108	クロイド	1759.637
85	110	ベテ	1759.205
86	111	Kazuha	1758.547
87	112	ゼラティク	1758.397
88	113	はやせユウカ	1758.348
89	114	ツバキ	1758.294
90	115	スカーレット	1758.212
91	116	バイオレット	1758.021
92	117	てんま	1757.933
93	118	ナンス	1757.924
94	120	バイオレット	1757.84
95	121	スカーレット	1757.809
96	123	スカーレット	1757.619
97	125	バイオレット	1757.427
98	126	クライ	1757.411
99	127	スズキ	1757.346
100	128	ねこまる	1757.322
101	129	じーん	1757.276
102	130	わし	1757.232
103	131	ハルト	1757.183
104	132	かつらあいり	1757.123
105	133	るすたりお	1757.095
106	135	TKD	1756.928
107	136	スカーレット	1756.73
108	138	ユー	1756.612
109	139	やまお	1756.573
110	140	りおん	1756.407
111	141	ハレワタール	1756.36
112	142	ラブリバー	1756.329
113	143	かわち	1756.284
114	144	ななせ	1756.082
115	145	R4	1756.036
116	146	ホルス	1755.985
117	147	ふらんどーる	1755.968
118	148	うっちー	1755.949
119	150	えにぴっぴ	1755.755
120	152	まさとし	1755.513
121	153	オニギリくん	1755.424
122	154	ひろこ♀	1755.366
123	157	バイオレット	1755.086
124	159	ゆきの	1754.555
125	160	バイザー	1754.221
126	161	ゆきぽよ	1754.098
127	162	スカーレット	1754.043
128	163	メル	1754.006
129	164	スカーレット	1753.748
130	165	バイオレット	1753.063
131	167	スカーレット	1752.62
132	168	まめた	1751.024
133	169	そうま	1751.018
134	170	ポカ	1750.717
135	171	どらん	1750.374
136	173	スカーレット	1749.519
137	175	シサイ	1749.089
138	177	フォルミア	1748.492
139	179	みるくてぃ～	1747.784
140	180	ささみん	1747.164
141	184	ひろきんぐ	1745.1
142	186	やかん	1743.985
143	188	ひよ	1743.019
144	189	えのきっこ	1742.598
145	190	えるふ	1742.587
146	192	バイオレット	1741.577
147	195	riku	1739.236
148	196	しょう	1738.141
149	197	ほっとここあ	1737.828
150	198	レイ	1737.616
151	200	ムーミン	1737.442
152	201	コケホドリ	1737.12
153	204	まかろん♪	1735.878
154	205	ルー	1735.824
155	206	しょへ	1735.741
156	209	ゆら	1734.843
157	210	スカーレット	1734.577
158	211	ゆう	1734.559
159	213	リン	1734.481
160	217	スカーレット	1734.058
161	221	バイオレット	1732.701
162	222	あいね	1732.628
163	223	ねるひ	1732.462
164	224	あつやv	1732.384
165	228	まさよし。	1732.027
166	229	カタクリ	1731.973
167	231	ももち	1731.884
168	232	かすてぃら	1731.841
169	236	なぎさ	1731.577
170	239	KOOTA	1728.768
171	240	ハラさん	1728.713
172	244	たるりん	1727.814
173	247	かのん	1727.224
174	249	れん	1726.38
175	250	りんちゃん	1726.299
176	255	レミリア	1725.253
177	256	バイオレット	1725.177
178	259	スカーレット	1723.765
179	260	オニクモ	1723.41
180	263	せりか	1722.744
181	265	ユウイチ	1722.617
182	266	バイオレット	1722.489
183	272	S.REM	1721.465
184	274	ちび	1720.999
185	275	Dumbo	1720.91
186	280	しぶ	1720.165
187	286	じゅーだす	1718.859
188	287	スカーレット	1718.679
189	288	TAKA	1718.437
190	289	X	1718.126
191	293	ジョージ	1717.066
192	295	ユイ	1716.958
193	296	おヌメラ	1716.699
194	298	ヨナさん	1716.507
195	302	ほんまたろう	1715.862
196	304	もく	1715.531
197	311	かおる	1713.816
198	313	バイオレット	1713.542
199	314	O2	1713.447
200	317	こーひー	1713.157
201	321	Shu	1712.634
202	322	かとうれい	1711.874
203	324	みずさ	1711.66
204	326	ハガ	1711.352
205	330	ココ	1711.01
206	333	ミナミ	1710.674
207	335	タピオカ	1710.547
208	336	おまつ	1710.342
209	337	パープル	1710.215
210	340	ずぅ	1709.816
211	341	りょうま	1709.798
212	343	みなとともか	1709.59
213	344	バイオレット	1709.216
214	346	ケルディオ	1709.064
215	350	リーフ	1708.774
216	352	ずらまる	1708.749
217	359	ミオス	1707.582
218	361	ぼんじは	1707.344
219	363	Jun	1707.035
220	365	つかさ	1706.798
221	366	まろん	1706.765
222	370	バイオレット	1706.08
223	371	MAKO	1705.888
224	373	tera	1705.484
225	375	ライト	1704.986
226	376	アル	1704.888
227	377	ふあゆ	1704.749
228	378	スカーレット	1704.599
229	381	スカーレット	1704.366
230	383	はっくす	1704.142
231	387	IZ*ONE	1703.946
232	388	〆_saba	1703.672
233	389	こすも	1703.644
234	398	ね	1702.998
235	400	ふみ	1702.86
236	401	ミズキ	1702.772
237	402	まさし	1702.483
238	403	たっつん	1702.31
239	404	ソウマ	1702.189
240	405	バイオレット	1701.892
241	408	ショウ	1701.621
242	410	アンディ	1701.595
243	412	ゆーすけ	1701.488
244	414	アンバー	1701.223
245	415	はるや	1700.94
246	417	マイナ	1700.766
247	420	ゆ	1700.426
248	421	つばさま	1700.405
249	423	スカーレット	1700.148
250	428	しの	1699.51
251	430	sacai	1699.202
252	432	ゆゆ	1698.925
253	433	り	1698.696
254	437	れいび	1698.512
255	438	さとし	1698.069
256	441	スカーレット	1697.785
257	443	ミナト	1697.421
258	444	ぽんず	1697.394
259	445	ししりあんぬ	1697.102
260	446	イオ	1697.092
261	447	バイオレット	1696.907
262	449	なすたちうむ	1696.588
263	452	ライト	1695.838
264	457	ここな	1694.302
265	464	Mitsu	1693.601
266	465	バイオレット	1693.6
267	466	やまゆう	1693.398
268	472	あおい	1692.757
269	474	スカーレット	1692.492
270	477	OK-5_7	1692.133
271	478	シノノメ	1692.035
272	481	ねむ	1691.812
273	482	トラトキ	1691.693
274	483	スカーレット	1691.596
275	484	ウィズ	1691.424
276	487	くにのり	1691.319
277	488	ハルカ	1691.206
278	489	スカーレット	1691.132
279	490	かばん	1691.027
280	492	Tommy	1690.734
281	494	カビーゴ	1690.297
282	498	レーア	1690.069
283	499	ぴーすけ	1689.898
284	501	フローズ	1689.799
285	503	ちゃんこ	1689.225
286	505	くーや	1688.928
287	506	TRAD	1688.795
288	507	ゴリケン	1688.741
289	511	バイオレット	1687.713
290	512	モンスト	1687.647
291	515	スカーレット	1687.298
292	516	オジ	1687.205
293	517	メーデー	1687.172
294	520	ミオリア	1686.791
295	526	テラストドン	1685.886
296	528	エチル	1685.717
297	532	TOMO	1685.507
298	538	みさと	1684.899
299	539	シンザン	1684.763
300	540	はず	1684.691
301	543	マリルリ	1683.959
302	546	やさいなお	1683.749
303	547	バイオレット	1683.711
304	551	おしお	1683.359
305	552	サイマルR4	1683.352
306	553	ユーカリ	1683.23
307	556	FuMi	1683.027
308	557	ちきん	1682.801
309	561	ねひょ	1682.581
310	562	Ryoh3i	1682.533
311	563	スカーレット	1682.361
312	564	やーぼ	1682.343
313	565	みずの	1682.21
314	566	さくらだもん	1682.071
315	568	 ステラ	1681.523
316	569	とまと	1681.384
317	570	りゅうぽんぬ	1681.36
318	572	スカーレット	1681.09
319	578	ゆうたろう	1680.662
320	581	こさかなお	1680.484
321	583	ゆま	1680.426
322	588	キリー	1679.613
323	592	たこーだい	1678.846
324	594	わびすけ	1678.598
325	595	ミズイロ	1678.513
326	596	ガリ	1678.34
327	597	スカーレット	1678.021
328	600	しらたま	1677.763
329	601	バイオレット	1677.762
330	604	もりカモメ	1677.46
331	605	Gatrra	1677.431
332	607	タケミ	1677.319
333	608	ストレリチア	1677.187
334	612	トスようRM	1676.941
335	613	とり	1676.861
336	614	センゴク	1676.77
337	615	ゴーヤ	1676.736
338	616	スカーレット	1676.562
339	617	SILVER	1676.516
340	619	りゅうおう	1676.02
341	620	なまけもの	1675.832
342	623	るみ	1675.674
343	629	ぐっうみせみ	1674.899
344	632	そら	1674.551
345	635	パンケーキ	1674.174
346	637	ランペル	1673.941
347	638	ょゎぃゃっ	1673.907
348	639	スカーレット	1673.739
349	641	ricky	1673.597
350	642	もも	1673.544
351	646	Kotton	1673.105
352	648	AIM	1672.965
353	652	シズ	1672.788
354	655	SNOW	1672.195
355	657	！ぶラん？	1671.972
356	658	スミレ	1671.892
357	659	sherry	1671.887
358	660	アスセナ	1671.857
359	661	F.ももやま	1671.718
360	662	スカーレット	1671.653
361	664	バイオレット	1671.564
362	668	バイオレット	1671.397
363	672	ピロリ	1670.803
364	673	チュリネ	1670.758
365	674	òタピオンó	1670.727
366	676	あらい	1670.34
367	677	ちゅり	1670.33
368	678	バイオレット	1670.299
369	682	たけ	1670.069
370	683	TKBN	1669.95
371	684	クロン	1669.904
372	686	まくろ	1669.781
373	688	リョウタロウ	1669.63
374	689	Uch	1669.608
375	690	たー	1669.592
376	691	ぱぴよん	1669.57
377	692	アルコ	1669.527
378	693	アガノ	1669.456
379	695	けがわ	1669.366
380	700	たみ	1669.222
381	703	あゆむん	1668.995
382	704	ISOな#	1668.829
383	708	アルノ	1668.578
384	710	クラウンsr	1668.361
385	711	トウカ	1668.359
386	713	ニガ・ナオミ	1668.099
387	714	キム	1668.045
388	715	Goomy	1667.985
389	716	ハルート	1667.973
390	717	ユウギボーイ	1667.717
391	718	Kion	1667.61
392	725	しょうくん	1667.149
393	726	スカーレット	1667.002
394	727	ましゅろ～	1666.907
395	729	しらたま	1666.735
396	730	ストーン	1666.672
397	731	ショー	1666.65
398	733	KUMAER	1666.576
399	737	SG	1666.19
400	738	ナガネギ	1666.129
401	740	だだん	1665.778
402	741	ユウモクレン	1665.732
403	746	ふくしま	1665.48
404	748	くらも～♪	1665.357
405	749	じーまーこう	1665.339
406	752	ぬべ	1665.218
407	753	yoko	1665.147
408	754	あかり	1665.129
409	756	スカーレット	1665.066
410	758	スカーレット	1664.897
411	759	たけまる	1664.895
412	764	セン	1664.556
413	766	ケロすけ	1664.466
414	767	さぴひかり	1664.451
415	768	T0ri	1664.376
416	769	アリア	1664.34
417	772	オタメンディ	1664.183
418	777	うえシナ	1664.057
419	779	テッター	1663.803
420	781	ニア	1663.736
421	784	シリル	1663.513
422	786	アカツキ	1663.343
423	788	バイオレット	1663.242
424	789	ゆー！！	1663.231
425	793	ゆーみん	1663.133
426	794	アヤメ	1663.08
427	796	ぽんきち	1663.033
428	797	てぃらがーる	1663.008
429	800	トーチ	1662.916
430	805	バクシー	1662.545
431	812	コウ	1662.255
432	813	える	1662.23
433	815	ケイタ	1662.041
434	817	しょうり	1661.931
435	819	かみそり	1661.821
436	820	ます	1661.677
437	821	にゃも	1661.664
438	823	04	1661.509
439	825	まざい	1661.4
440	826	ナルメ	1661.375
441	827	どにゃんこ	1661.357
442	829	みみ	1661.202
443	831	かざね	1661.101
444	833	UTAGEN	1660.971
445	836	あみん	1660.739
446	837	バイオレット	1660.706
447	839	Kamaru	1660.61
448	840	Yukiha	1660.589
449	842	ルツ	1660.146
450	843	マリンスノー	1660.137
451	844	シンヤ	1660.135
452	853	あず	1659.751
453	854	カナ	1659.664
454	856	だるたーにゃ	1659.349
455	857	エディー	1659.283
456	858	うえす	1659.275
