RegionRank	Rank	Name	Rating
1	310	히나	1714.132
2	315	Spring	1713.224
3	390	플레어단	1703.538
4	739	노력가	1665.872
5	828	수피	1661.313
6	841	글레이버	1660.388
7	919	두까비	1655.106
8	948	디지니	1653.986
9	964	진규	1653.27
10	977	미카	1652.683
11	990	푸름	1651.908
12	1032	진원	1649.266
13	1066	피아	1647.14
14	1128	Nash	1643.203
15	1254	몸값152억	1636.996
16	1259	시로쨩	1636.746
17	1288	하슬	1635.602
18	1293	플로젤	1635.258
19	1322	상원	1633.966
20	1350	디지몬마스터	1632.236
21	1363	푸름	1631.652
22	1396	라떼	1630.205
23	1411	믴믴이	1629.335
24	1440	여관주인	1627.76
25	1460	곤충채집소녀	1627.227
26	1565	KichKi	1622.56
27	1713	유니	1616.664
28	1720	수민	1616.53
29	1747	포팔신사	1615.577
30	1765	카이노	1614.896
31	1770	핫삼	1614.732
32	1793	뽀삐	1614.032
33	1827	정현	1612.907
34	1854	푸름	1612.019
35	1920	Rv.Mt	1610.232
36	2193	제천조	1602.684
37	2295	춘자	1599.899
38	2331	마인펄	1598.771
39	2340	피클	1598.504
40	2491	휘성	1593.056
41	2576	푸름	1590.458
42	2831	세준	1583.337
43	2877	소리	1582.117
44	2941	수호자	1580.359
45	3070	악동	1577.75
46	3083	Snow	1577.542
47	3279	치클리스	1573.288
48	3281	나연♥	1573.238
49	3483	마를린	1569.525
50	3553	산 남자	1567.737
51	3581	실크	1567.119
52	3606	yuki	1566.526
53	4010	에플	1558.633
54	4657	Minjae	1547.837
55	4749	름이	1546.451
56	4780	선월	1546.001
57	4814	펜원	1545.591
58	4834	순수한산소	1545.325
59	4858	준형	1545.047
60	4958	호밀	1543.755
61	5011	*빛광채*	1543.074
62	5055	yee	1542.505
63	5220	한울	1540.019
64	5491	박선우	1536.14
65	5526	이온	1535.51
66	5617	푸름	1534.221
67	5656	푸름	1533.627
68	5719	레윈	1532.852
69	5900	니시키노마키	1530.346
70	5986	은조순	1529.1
71	6000	히후미	1528.899
72	6112	세찬	1527.75
73	6130	스이렌	1527.485
74	6168	오프너	1527.032
75	6208	무쇠뚝배기	1526.486
76	6250	교토	1525.978
77	6317	월향♪	1525.053
78	6389	나원	1523.985
79	6475	요테귀엽	1522.689
80	6491	시그	1522.472
81	6494	삼수생	1522.44
82	6526	시즈	1521.971
83	6613	버플	1520.895
84	6688	쿠키	1520.033
85	6913	영	1518.187
86	7013	메루메루타루	1517.234
87	7197	퐁퐁	1515.807
88	7269	aud	1515.298
89	7283	지훈	1515.177
90	7353	토우지	1514.666
91	7552	사유리	1513.255
92	7556	위스키스	1513.22
93	7573	얼그레이	1513.038
94	7675	주스맛버블	1512.127
95	7850	초승달	1510.504
96	7858	김유준	1510.392
97	7874	굉굉곰	1510.211
98	7942	테나	1509.414
99	7964	멜리아	1509.145
100	7984	존카	1508.921
101	8028	안나	1508.41
102	8159	미르	1506.886
103	8183	CAZ	1506.662
104	8222	재농	1506.303
105	8550	두벅초	1503.006
106	8642	캐비어	1502.257
107	8649	휘웅	1502.193
108	8764	강태풍	1501.224
109	8918	성연	1499.926
110	8972	진주훈	1499.556
111	9018	데쿠	1499.121
112	9078	마티	1498.56
113	9078	상진	1498.56
114	9448	정우	1494.464
115	9465	코른	1494.333
116	9485	민초파 	1494.153
117	9556	랜디	1493.191
118	9568	은하	1493.016
119	9648	슈팅스타	1492.143
120	9690	정니콜	1491.67
121	9725	상록수	1491.274
122	9761	기훈	1490.801
123	9798	토다마코토	1490.41
124	9834	오트밀	1490.101
125	9841	김민서	1490.087
126	9918	주현	1489.451
127	10092	푸름	1488.147
128	10237	Chan	1487.256
129	10320	호이	1486.808
130	10436	반포덕	1486.157
131	10481	Eccen	1485.907
132	10523	다빈	1485.722
133	10526	지환	1485.708
134	10593	연을	1485.285
135	10690	설레임	1484.844
136	10826	성진	1484.137
137	10841	선우	1484.047
138	10847	정원	1484.029
139	10875	탁구공	1483.832
140	10943	빵국	1483.524
