Region Rank	Rank	Name	Rating
13	23	Riopaser	1772.373
24	102	LeunamTG	1760.117
44	185	~SKALARI~	1744.344
51	203	Ismael	1736.419
69	238	David	1728.984
80	257	Godey	1725.021
82	261	Mario	1723.062
83	262	Jorge	1722.748
90	273	Rikperz	1721.381
91	276	Domi	1720.723
108	303	ToXiC	1715.553
121	327	Benji	1711.22
123	329	Jανι♡†	1711.066
143	364	Juancho	1707.015
147	372	André	1705.549
158	394	Samu	1703.311
167	413	Zaiko	1701.318
180	436	Pint0	1698.576
184	448	7illo	1696.74
191	458	Marquitos	1694.237
192	459	Caribe	1694.164
193	460	Pipa	1694.127
204	476	CansecoChánn	1692.167
206	480	Zaneek	1691.864
215	502	Lekiam	1689.465
220	513	Pako Glitch	1687.592
239	542	JG	1684.48
245	554	Hugo .-.	1683.208
260	584	Manu	1680.365
268	598	Nani	1677.931
275	611	Er Yayo	1677.009
276	618	Guschar	1676.397
283	628	Javi	1675.06
285	631	Matthew	1674.722
292	645	Gope	1673.246
296	651	Mika	1672.828
299	656	Rixoh	1672.049
300	663	Nash	1671.608
347	762	Boza	1664.754
355	776	Julio Lobo	1664.088
374	808	Raúl	1662.373
380	818	Cañuelo	1661.894
387	838	Alexis	1660.634
395	852	Guillem	1659.766
398	861	Jejemena <3	1658.828
409	876	cům	1657.793
420	900	Degeoh	1656.247
433	920	mrpastrana	1655.098
434	921	Jet	1655.09
436	926	PatxiJoker	1654.928
439	930	Martincho	1654.779
440	934	Slam	1654.595
443	938	Tricejer	1654.492
453	965	Ssaancheez	1653.194
460	975	RoiRehh	1652.728
464	982	Jorge	1652.468
468	987	Juanfi	1651.987
469	989	CostaGG	1651.915
471	993	Purple	1651.829
497	1046	Jorlon	1648.45
505	1065	Juanma	1647.199
508	1071	Dani	1646.887
514	1078	Gui	1646.683
522	1096	$AlexGaMeS$	1645.067
524	1103	enrique	1644.673
527	1108	Staraptor	1644.542
535	1133	Regis Regis	1643.019
546	1153	Marta	1641.906
587	1248	Alvaro	1637.399
603	1278	ApoZGZ	1635.828
621	1314	VictorJColl	1634.371
643	1349	Elhaci	1632.247
645	1355	Lledó	1631.999
667	1400	Gary Oak	1630.003
668	1401	Fan	1629.994
682	1420	Brea	1628.876
684	1428	TeisonVGC	1628.556
685	1432	Phebe	1628.198
688	1444	Varomlg2	1627.641
708	1485	Erik	1625.754
727	1526	CpGame	1624.164
728	1529	Cristian	1623.97
730	1532	DaXis	1623.933
737	1544	Roberto	1623.416
752	1571	Hiramidas	1622.368
757	1582	Fang Fang	1621.728
766	1601	Cro	1620.812
774	1613	Artema	1620.535
784	1637	Albus D.	1619.746
785	1639	Gian	1619.693
790	1648	Rubén	1619.237
794	1656	TorquatoTass	1618.971
796	1658	AB	1618.839
799	1662	TG 21	1618.711
