Region Rank	Rank	Name	Rating
20	83	20亮亮	1747.574
25	162	觉醒朝倉未来	1741.077
58	283	暖浠	1710.872
62	288	圆滚滚电刺猬	1710.47
98	345	古力鸭	1700.404
111	384	露露♪	1691.849
130	427	赤赤兹	1685.996
132	429	威廉	1685.982
143	450	LTL	1682.356
145	455	hikari	1682.155
209	595	爱城华恋	1667.134
214	605	不讲伍德	1666.236
261	734	Asuka	1655.878
270	754	天一	1654.178
286	791	绝剑	1651.505
314	859	Kona	1646.62
328	887	Gary	1644.894
364	959	雨	1640.6
417	1085	紺野木綿季	1631.942
430	1113	Monkey	1630.642
437	1130	卜卜	1629.497
440	1133	cbh013	1629.325
495	1251	书中自有烤肉	1621.98
497	1254	杰	1621.691
508	1271	流浪	1620.681
532	1312	大橘猫	1618.335
542	1331	人生赢家	1617.362
577	1408	日奈森亚梦	1614.804
644	1526	代后	1610.217
710	1666	SG★	1605.382
767	1784	小夫	1601.767
801	1856	应愔	1599.085
818	1884	云荒皓月	1598.125
822	1895	折木	1597.806
851	1948	Dawn	1595.92
886	2039	江泽香菜	1592.391
938	2155	K9999	1588.1
960	2189	薇	1587.15
978	2219	ZaoTX	1586.072
1004	2294	朱国瑞	1583.116
1005	2295	夜儿明月	1583.107
1018	2319	Icy	1582.363
1035	2351	呐是一道光	1581.542
1039	2356	bfc917	1581.425
1046	2375	记录指针	1580.717
1060	2404	Mel	1579.64
1099	2484	基尼尔	1577.382
1155	2589	TM30	1574.192
1171	2623	肘子	1573.333
1177	2649	夏天的影子	1572.63
1178	2651	jabob	1572.557
1196	2696	xyz	1571.327
1203	2711	万华一心	1570.572
1226	2747	小鳥遊六花	1569.732
1241	2776	灵阳	1568.837
1293	2898	Poppy	1565.395
1316	2948	思	1563.766
1322	2958	小春	1563.617
1351	3029	莉莉艾	1561.75
1371	3066	sysz	1560.832
1376	3079	Angla	1560.547
1379	3085	PYTHON	1560.469
1417	3158	Hunter	1558.659
1433	3194	mike	1557.79
1465	3256	唯伍德馨	1556.431
1476	3277	星火	1556.143
1483	3290	梦幻谷vV	1555.906
1488	3299	SHeart	1555.777
1530	3396	星辰毛小毛	1553.548
1543	3422	多多	1552.987
1552	3440	无话	1552.677
1568	3470	Faldy	1552.067
1591	3513	莉莉艾	1551.262
1597	3522	mikn	1551.074
1608	3543	凜	1550.705
1613	3548	Ron	1550.592
1645	3605	fatty^	1549.294
1649	3609	围巾火暴兽	1549.264
1660	3628	泥啪	1548.831
1664	3639	Z	1548.651
1688	3692	feifei	1547.926
1691	3701	南宫问天	1547.754
1695	3708	Hikari	1547.655
1703	3724	楓可憐 ♪	1547.32
1733	3769	好爸爸	1546.589
1735	3780	晶莹雪	1546.437
1740	3787	小青	1546.226
1749	3810	藤木游作	1545.985
1761	3833	itazu	1545.7
1768	3848	yummy	1545.508
1769	3850	大吾	1545.465
1798	3905	暮光闪闪	1544.561
1816	3931	辰	1544.078
1820	3942	影子	1543.797
1908	4127	Rest	1540.143
1920	4146	2White	1539.708
1968	4241	Lacus	1538.265
1985	4270	冷涵	1537.62
1987	4272	Shuy	1537.576
1988	4273	诗云	1537.553
2058	4427	狼牙	1534.6
2062	4433	希尔瓦娜斯	1534.469
2074	4458	智皮老弟	1533.956
2080	4470	诺苏	1533.593
2088	4492	Gworm	1533.292
2094	4505	少年体H型	1533.121
2106	4520	乔六剑	1532.934
2113	4537	小智	1532.709
2124	4556	牛奶饮咖啡o	1532.441
2136	4580	日日	1531.997
2140	4587	Tora	1531.857
2151	4607	wl	1531.566
2179	4655	汐沐	1530.363
2182	4659	小青	1530.332
2193	4676	光炫	1529.93
2201	4713	冷汐	1529.605
2217	4743	Violet	1529.216
2257	4810	小诚	1528.208
2306	4919	烈厨唐坤	1526.552
2313	4930	Q	1526.345
2314	4931	765	1526.331
2317	4937	帕奇	1526.196
2446	5166	等不到天黑	1522.424
2459	5189	佩恩	1522.053
2486	5245	凯KAY	1521.287
2507	5289	川页	1520.699
2512	5297	比卡超电击	1520.614
2515	5304	www	1520.546
2520	5309	Serain	1520.509
2547	5352	小青	1519.897
2556	5366	小葵	1519.816
2600	5462	Jenda	1518.624
2627	5513	Hali	1518.054
2643	5545	竹	1517.745
2647	5560	古名地三鲜	1517.583
2658	5581	文生	1517.268
2669	5614	夏弥	1517.001
2687	5644	西湖雪舞	1516.759
2705	5677	Ayaka	1516.562
2709	5685	特奥	1516.507
2711	5687	逆	1516.495
2727	5717	Sizzle	1516.215
2733	5725	无用之人	1516.152
2736	5729	BOYING	1516.141
2747	5753	长谷川高木	1515.924
2763	5784	Jiayin	1515.586
2770	5795	Maswil	1515.542
2777	5804	Zone	1515.41
2779	5807	VV381	1515.404
2785	5822	马骏	1515.226
2788	5827	卜明摆	1515.2
2790	5834	kololo	1515.166
2803	5853	卡比兽粉丝	1514.975
2830	5911	Jolyne	1514.413
2840	5928	alexis	1514.234
2860	5962	捕虫少年	1513.987
2870	5980	Alex	1513.875
2878	5993	白咕咕ω	1513.752
2885	6012	其之	1513.605
2910	6052	贝雷丝	1513.254
2911	6053	maru	1513.248
2925	6080	talair	1512.949
2931	6087	ruin	1512.915
2947	6121	范特西	1512.415
2948	6124	Monkey	1512.386
2986	6178	淡定	1511.854
2992	6191	火鱼	1511.705
3022	6257	思思	1510.647
3029	6270	小泽	1510.448
3038	6285	李傻奇	1510.335
3045	6295	Yonow	1510.27
3063	6337	诺亚	1509.792
3067	6343	小肥仔圆圆	1509.737
3071	6351	SORA	1509.592
3085	6375	璨	1509.363
3106	6417	藏富稔	1508.903
3118	6432	保龄龄	1508.641
3156	6501	小宝超人	1507.712
3172	6529	Lau	1507.444
3191	6562	方	1507.012
3210	6595	Kuuga	1506.495
3219	6611	Banmee	1506.32
3240	6661	再无枷锁	1505.567
3327	6807	天音九十八	1503.791
3339	6826	Lillie	1503.611
3374	6898	小澍	1502.574
3425	6999	里人	1501.655
3455	7042	YWZ	1501.142
3469	7076	千夜	1500.723
3470	7078	Yuki	1500.713
3474	7085	暮之旅	1500.642
3498	7124	hazkar	1500.22
3512	7142	loon	1500.105
3524	7177	无忧	1499.821
3534	7193	爱玛侬	1499.657
3571	7264	Angel	1498.78
3572	7265	Chaos君	1498.763
3606	7332	利奇	1497.989
3626	7372	鲸落	1497.366
3627	7373	大颗粒	1497.346
3716	7533	暗凯	1495.355
3736	7583	聪	1494.615
3795	7693	萤	1492.793
3802	7709	Kars	1492.667
3829	7758	小水泥	1491.787
3836	7769	泽哥888	1491.72
3857	7807	Jess	1491.16
3868	7828	Luna	1490.889
3897	7883	叁枝	1490.242
3919	7921	惠厨	1489.777
3964	8008	荻了个荻嘟嘟	1488.951
3967	8013	小竹兰	1488.91
3987	8047	琪琪	1488.726
4035	8124	灯灯	1488.039
4039	8129	小苏苏	1488.001
4049	8145	DDway	1487.88
4072	8189	Van	1487.507
4076	8198	MeltyT	1487.381
4113	8254	小可	1486.973
4128	8277	poly	1486.835
4134	8287	疑点颇多	1486.798
4142	8303	海豚侠迷防火	1486.7
4192	8387	XYA	1486.083
4207	8413	TAIGA	1485.931
4218	8425	霆大王	1485.859
4239	8467	牛牛DL	1485.624
4242	8471	仰游	1485.582
4267	8520	honomi	1485.275
4294	8586	Sakura	1484.759
4322	8632	+ω+	1484.404
4324	8636	雪	1484.383
4341	8672	兰	1484.135
4347	8681	RAYTDZ	1484.053
4352	8688	赢姬天	1484.004
4355	8694	Veder	1483.967
4362	8705	思琴	1483.891
4377	8733	筱枫	1483.744
4389	8747	方	1483.671
4412	8788	101	1483.33
4447	8850	狐桑	1482.926
4450	8856	图	1482.891
4478	8912	ugfyfy	1482.473
4481	8916	a.K.i	1482.449
4492	8934	江眠爱干饭	1482.32
4494	8938	潇潇侠	1482.302
4506	8958	Kaylee	1482.155
4532	9003	下山	1481.763
4546	9026	真	1481.592
4547	9027	豆豆	1481.589
4555	9036	RaphSS	1481.542
4561	9043	Eve	1481.506
4573	9061	坚白离	1481.279
4605	9110	雪地	1480.73
4624	9142	RayS	1480.426
4706	9299	aa	1478.299
4751	9387	洛洛姐姐	1477.014
4765	9410	壶果汁	1476.712
4798	9473	卡璞铭铭	1475.795
4824	9526	Ran	1475.078
4829	9536	塞尔莱菲	1474.922
4830	9538	文氓	1474.898
4837	9557	索罗	1474.754
4878	9633	阿尼亚	1473.694
4892	9656	萧国栋	1473.481
4897	9666	庄家子弟	1473.389
4911	9691	CARRY	1473.121
4923	9714	小姨妈	1472.852
4931	9730	贼眉	1472.689
4941	9751	雷寂9	1472.426
4978	9825	大竹	1471.768
4989	9845	小洛	1471.551
5022	9905	小史	1470.891
5032	9921	小莲	1470.784
5034	9923	Virtue	1470.77
5124	10060	关关	1469.306
5131	10072	看你的微笑	1469.217
5136	10078	小青	1469.177
5157	10121	NEZ	1468.674
5168	10135	melo	1468.527
5182	10158	liofyy	1468.337
5214	10208	格温	1467.89
5232	10241	球球	1467.576
5243	10264	西行寺幽幽子	1467.317
5261	10308	代码王牌	1466.857
5271	10322	眉眉	1466.697
5295	10356	Gene	1466.353
5308	10381	金克拉	1465.995
5318	10399	妲己	1465.822
5343	10441	雷寂9	1465.188
5358	10462	Cornel	1464.843
5364	10469	Will	1464.694
5366	10472	果果	1464.672
5378	10496	小鱼儿	1464.292
5384	10507	hyc	1464.083
5397	10534	诚希	1463.561
5417	10567	夏凛	1462.965
5461	10645	贝贝羊驼	1461.674
5497	10715	Jumboo	1460.823
5506	10729	小透明	1460.621
5508	10732	Athlar	1460.598
5510	10734	碧翠丝小巴菲	1460.587
5520	10753	JK	1460.408
5529	10780	螃蟹	1460.121
5564	10827	宝可梦男同	1459.748
5566	10829	我爱吃酥饼	1459.709
5585	10862	烈、炎	1459.464
5592	10877	有点小韧性	1459.39
5604	10910	秋野枫	1459.139
5623	10943	星尘	1458.812
5626	10946	Chio	1458.772
5672	11025	小银	1458.199
5690	11056	拙劣的马奎	1458.026
5695	11062	小青	1457.991
5701	11072	娜娜	1457.863
5704	11074	Mike	1457.845
5739	11130	冷珂珂	1457.533
5744	11135	17will	1457.499
5745	11142	离惑	1457.46
5753	11154	Akasic	1457.373
5764	11172	小青	1457.31
5781	11199	Mai	1457.15
5803	11231	麻薯	1456.942
5815	11256	暗夜	1456.83
5818	11261	Ezio	1456.815
5854	11318	魚禾華	1456.523
5856	11323	可可	1456.506
5867	11345	海德薇	1456.347
5871	11352	克莱尔	1456.322
5886	11368	搞基大王	1456.225
5899	11393	Puppy	1456.081
5906	11410	Summer	1455.992
5908	11415	放纵飘飞	1455.962
5910	11416	Buya	1455.96
5921	11443	POSY	1455.859
5929	11458	夜羽	1455.763
5932	11461	小涵	1455.761
5946	11485	Time魔神	1455.65
5984	11550	中	1455.374
5987	11556	卢本伟nb	1455.357
5994	11574	小春	1455.262
6004	11585	杰尼	1455.219
6014	11606	欧姆	1455.125
6018	11611	远吕智	1455.101
6022	11617	超能干饭君	1455.074
6059	11681	立花宗茂	1454.789
6061	11689	lan	1454.742
6078	11729	坏坏	1454.582
6103	11772	小浣熊干脆面	1454.387
6104	11773	阿尔比恩	1454.379
6131	11843	小鹿乱撞	1454.065
6155	11886	Wally	1453.878
6191	11945	寿司	1453.655
6192	11946	mango	1453.65
6204	11964	太晶飞固拉多	1453.544
6221	11985	桓	1453.407
6228	11994	Angela	1453.372
6243	12024	幸福	1453.258
6248	12029	艾莉斯语风	1453.242
6249	12031	Dino	1453.238
6253	12037	小野喵喵	1453.212
6257	12043	長歡客	1453.202
6271	12064	爱丽丝	1453.091
6272	12065	湫凌	1453.09
6291	12093	fr33	1452.953
6292	12094	Jm	1452.948
6306	12114	随风球侠	1452.815
6334	12156	小美	1452.612
6335	12159	Ren	1452.604
6406	12290	翾樾	1451.86
6424	12319	o五毒兽o	1451.688
6426	12322	增火龙	1451.665
6475	12399	Eric	1451.064
6500	12445	STY	1450.696
6503	12449	赤红	1450.641
6525	12481	天难忱斯	1450.35
6558	12533	芊墨	1449.845
6596	12608	楠楠	1449.113
6606	12623	雄羽27	1448.911
6616	12641	Erase	1448.719
6618	12643	梦	1448.688
6643	12679	素义伦	1448.138
6651	12689	白板	1447.99
6715	12808	陳	1446.184
6733	12834	墨墨	1445.823
6743	12853	Eazert	1445.546
6789	12938	好弟弟	1444.341
6864	13080	T-Ray	1442.625
6895	13124	哈库拉瑪塔塔	1442.246
6912	13150	海儿	1442.046
6918	13162	Leon	1441.862
6970	13251	哦嚯	1440.944
6979	13267	共平	1440.794
6995	13293	大颗粒	1440.495
6999	13298	碌葛	1440.459
7007	13308	Moro	1440.372
7014	13317	久爱兰陵王	1440.316
7045	13372	辛渊	1439.808
7059	13391	步	1439.624
7073	13411	MagicQ	1439.404
7076	13416	洗剪吹	1439.331
7080	13422	軍	1439.27
7081	13423	o小墨o	1439.269
7095	13447	123	1439.073
7116	13478	Gazer	1438.74
7120	13484	Bolvar	1438.691
7127	13493	zzZ	1438.566
7149	13532	世白纯良	1438.056
7150	13533	小紫	1438.048
7178	13587	聪少	1437.382
7183	13595	小哈	1437.283
7185	13597	啵啵	1437.251
7190	13603	Huji！	1437.139
7198	13615	hong	1437.015
