Region Rank	Rank	Name	Rating
27	177	麻婆豆腐定食	1739.264
68	300	YuWei	1708.353
225	634	Sayha	1663.196
289	801	FKW	1650.972
433	1116	阿柏子	1630.383
487	1237	藍寶石	1622.622
586	1422	飛鳥	1614.155
690	1615	Guts	1607.055
709	1665	Barry	1605.422
769	1787	sooong	1601.676
840	1931	huh	1596.404
911	2092	Eckes	1590.618
926	2128	Venice	1589.076
1172	2631	真夜	1573.094
1210	2721	Sky	1570.269
1220	2735	貓神夜洛蒔	1569.99
1222	2738	惡琉	1569.946
1224	2741	ly05	1569.863
1245	2785	Roy.L	1568.666
1271	2858	Kakeru	1566.391
1296	2905	Jeff	1565.111
1345	3020	Ellie	1561.862
1366	3055	石頭	1561.165
1414	3153	蟲蟲產	1558.786
1564	3465	開司	1552.119
1618	3555	Habaw	1550.383
1657	3624	V紫 朱S	1548.941
1698	3712	Watchs	1547.577
1701	3722	金城武	1547.359
1704	3725	威廉	1547.313
1753	3816	天魔	1545.897
1755	3821	HHL	1545.824
1775	3860	Natsu	1545.34
1796	3903	White	1544.584
1814	3927	Padka	1544.213
1819	3941	雪青	1543.819
1824	3948	Mist	1543.713
1853	4006	煞氣aYE祥	1542.574
1899	4112	宇智波齊寶	1540.334
1932	4170	萊恩	1539.27
1977	4256	赫蘿	1537.895
2003	4313	Lilll	1536.846
2069	4447	石川澪	1534.206
2103	4515	blakki	1532.991
2131	4572	Fullhd	1532.128
2165	4624	海旋	1531.031
2212	4732	Solo	1529.286
2346	4982	河馬	1525.339
2367	5025	Relaex	1524.815
2376	5047	?	1524.38
2421	5125	技術問題	1523.157
2529	5319	希歐	1520.272
2535	5333	蔥爆魯肉飯	1520.1
2553	5362	愛草屬的傢伙	1519.832
2588	5437	三重流川風	1518.906
2635	5531	超作戲δωδ	1517.91
2664	5600	Junior	1517.126
2701	5665	蘿白	1516.617
2793	5840	Regan	1515.122
2806	5859	Jim	1514.924
2812	5872	David	1514.782
2818	5883	♪★超超☆™	1514.689
2876	5990	大熊	1513.778
2883	6006	晴人	1513.656
2886	6014	Henry	1513.583
2903	6042	Colisa	1513.314
2905	6045	ball	1513.306
2964	6146	歐罵瑪	1512.138
2995	6200	Max	1511.658
3039	6286	JoeyQQ	1510.333
3159	6506	洛克	1507.678
3161	6508	零黎	1507.65
3203	6582	小小	1506.736
3217	6603	阿文哥	1506.437
3320	6791	桐崎千棘	1503.895
3326	6806	未來	1503.8
3435	7013	Anita	1501.506
3442	7022	Bphyll	1501.4
3444	7026	鳳香	1501.372
3495	7117	Boom !	1500.278
3527	7183	羽佐	1499.767
3528	7184	LYC	1499.742
3579	7290	OD	1498.437
3594	7314	*`蕞曖老婆	1498.203
3605	7331	kpachi	1497.99
3620	7361	拉比諾	1497.532
3737	7585	超吉米	1494.574
3750	7615	JapBoi	1493.855
3769	7641	多多	1493.477
3830	7759	左輪	1491.785
3837	7770	毛啾啾	1491.662
3838	7772	大黃	1491.645
3879	7846	賽博正太	1490.715
3886	7863	RAY	1490.583
3891	7874	四方時雨	1490.402
3934	7949	標之痕	1489.53
3946	7975	亞古獸	1489.242
3955	7990	蒼響圍朱	1489.112
3965	8010	花生寶寶	1488.94
3979	8031	250	1488.813
3981	8034	高城	1488.798
3993	8053	天狼	1488.667
4006	8072	騰騰	1488.483
4056	8159	阿庭	1487.794
4060	8165	FTA	1487.77
4133	8286	Kamizu	1486.805
4144	8306	豪	1486.682
4169	8341	金星醬油	1486.454
4181	8365	大鑫鑫	1486.255
4194	8391	龍宇軒	1486.053
4216	8423	小榜眼	1485.866
4228	8439	阿紫	1485.775
4270	8528	Morgan	1485.232
4286	8565	賽娜	1484.913
4296	8589	妙蛙丘	1484.735
4303	8602	砂糖	1484.644
4310	8611	Lina	1484.577
