Region Rank	Rank	Name	Rating
1	1	しおり	1822.015
2	2	スカーレット	1816.453
3	5	スカーレット	1788.704
4	11	ナーク	1774.906
5	12	バイオレット	1774.66
6	15	バイオレット	1768.482
7	18	バイオレット	1765.525
8	20	Mitsu	1761.778
9	22	コケホドリ	1758.026
10	24	ぎあ	1757.788
11	25	まる2	1757.68
12	26	バイオレット	1757.077
13	27	ミガワリ	1757.076
14	28	すーちょ	1756.838
15	29	バイオレット	1756.32
16	32	ななかまど	1755.626
17	33	あとりあ	1755.265
18	34	しょへ	1755.17
19	35	Cony	1754.84
20	37	しぶ	1753.992
21	38	スカーレット	1753.374
22	40	ヨナさん	1752.686
23	41	スカーレット	1752.435
24	42	スカーレット	1752.277
25	43	グリーン	1752.2
26	44	エニグマ	1752.1
27	45	スカーレット	1751.904
28	46	アヤメ	1751.85
29	47	オリハラ	1751.805
30	48	オプーナ	1751.803
31	49	バイオレット	1751.802
32	50	あゆみ	1751.249
33	51	キリア	1751.201
34	52	'ぽて	1751.189
35	53	タピオカ	1751.114
36	54	トウコ	1750.986
37	55	ナイトロ	1750.955
38	56	かよかよ	1750.746
39	57	はるか	1750.718
40	58	ハイネ	1750.7
41	59	X	1750.505
42	60	まおにこ	1750.484
43	61	SG	1750.467
44	63	★もよろしく	1749.864
45	64	スカーレット	1749.683
46	65	ばるなん	1749.62
47	66	おヌメラ	1749.436
48	67	しーちきん	1749.422
49	68	NUTS	1749.398
50	69	りっちゃん	1749.274
51	70	じゅんや	1749.086
52	71	セナ	1748.868
53	72	ヴェッタ	1748.81
54	73	マスター	1748.513
55	74	バイオレット	1748.511
56	75	しろあん	1748.446
57	76	ばにゆ	1748.115
58	77	しらたま	1747.984
59	78	ふみと	1747.975
60	79	シャングリラ	1747.972
61	80	ぷらずま	1747.869
62	81	イザベル	1747.864
63	84	ハルチ	1747.568
64	85	けんた	1747.396
65	86	みやたん	1747.125
66	87	はっくす	1746.965
67	88	ジャスミン	1746.913
68	89	ミン	1746.844
69	90	ミオリア	1746.717
70	91	あつろう	1746.68
71	92	アルコ	1746.642
72	93	レイ	1746.542
73	94	ライラック	1746.378
74	95	バイオレット	1746.345
75	96	バイオレット	1746.173
76	97	バイオレット	1746.122
77	98	シリル	1746.056
78	99	く～れん	1746.045
79	100	みずの	1745.848
80	101	ねむる	1745.827
81	102	ミナト	1745.602
82	103	すやこ	1745.592
83	104	おちゃ	1745.447
84	105	スカーレット	1745.338
85	106	soma	1745.324
86	107	F	1745.302
87	108	とり。	1745.208
88	109	バイオレット	1745.159
89	110	ユウキ	1745.011
90	111	うさぎ	1744.958
91	112	ひよ	1744.945
92	113	スカーレット	1744.916
93	114	ルタお	1744.901
94	115	モンスト	1744.865
95	116	スカーレット	1744.852
96	118	わびすけ	1744.697
97	119	アルノ	1744.605
98	120	バイオレット	1744.595
99	121	ハルト	1744.518
100	122	GFree	1744.439
101	123	リドル	1744.234
102	124	スカーレット	1744.215
103	125	ふくしま	1744.185
104	126	にしくんSP	1744.094
105	127	レイ	1744.065
106	128	あてらいあー	1744.029
107	129	ふなち	1744.027
108	130	ふらっと	1743.914
109	131	スカーレット	1743.871
110	132	Liebe!	1743.787
111	133	スカーレット	1743.758
112	134	ジョン	1743.697
113	135	ゆーきゃん	1743.605
114	136	kinami	1743.523
115	137	しゅー	1743.513
116	138	オオクワガタ	1743.396
117	139	バイオレット	1743.392
118	140	ヌノケン	1743.389
119	141	aokbab	1743.269
120	143	レーア	1743.217
121	144	ケイ	1743.11
122	145	レプリカ	1743.092
123	146	ミアータ	1742.983
124	147	まどぎわ	1742.982
125	148	れい	1742.824
126	149	うえすと	1742.668
127	150	アカツキ	1742.596
128	151	S.REM	1742.556
129	153	アンサ	1742.518
130	154	バイオレット	1742.373
131	155	アンニュイ	1742.358
132	156	ワトソン	1742.136
133	157	たいき	1741.885
134	158	パリラ	1741.327
135	159	ゆの*	1741.316
136	160	むにゃーる	1741.167
137	163	ガイヤール	1740.99
138	164	バイオレット	1740.856
139	165	アガノ	1740.82
140	166	マリンスノー	1740.726
141	167	バイオレット	1740.663
142	168	バイオレット	1740.647
143	169	もうしわけ	1740.467
144	170	りょまはま	1739.985
145	171	Ryo	1739.798
146	173	я	1739.521
147	174	IKUSIN	1739.464
148	175	バイオレット	1739.404
149	176	ビーモ	1739.276
150	178	しらたま	1739.254
