Region Rank	Rank	Name	Rating
1	62	Spring	1749.916
2	318	플로젤	1705.459
3	477	미스터 림	1679.953
4	793	호에엥	1651.495
5	992	동탄맘	1638.172
6	1028	제천조	1635.942
7	1168	월향♪	1626.813
8	1214	Dual	1624.07
9	1337	메루메루타루	1617.185
10	1380	에이버리	1616.027
11	1386	소리	1615.863
12	1449	예나	1613.108
13	1556	푸름	1609.113
14	1574	Nash	1608.427
15	1580	악동	1608.272
16	1584	산 남자	1608.204
17	1811	ASH	1600.998
18	2027	나옹이	1592.836
19	2098	YK	1590.485
20	2099	플레어단	1590.372
21	2112	SIUUUU	1589.879
22	2200	캐티	1586.57
23	2313	푸름	1582.458
24	2382	라떼	1580.368
25	2419	진원	1579.159
26	2440	나엘	1578.386
27	2478	상자	1577.485
28	2496	버플	1576.924
29	2556	호이	1575.113
30	2590	초승달	1574.154
31	2663	CAZ	1572.321
32	2745	우동	1569.779
33	2799	낙고	1568.147
34	2821	니시키노마키	1567.436
35	2919	선월	1564.814
36	2944	푸름	1563.846
37	2946	재순	1563.796
38	2975	무쇠뚝배기	1563.244
39	2981	히히히	1563.048
40	2986	은하	1562.906
41	3227	성연	1556.93
42	3333	강	1554.964
43	3372	임임	1554.089
44	3378	레이하루	1554.002
45	3385	*빛광채*	1553.849
46	3577	에플	1549.966
47	3653	박선우	1548.426
48	3774	레하트	1546.522
49	3838	단풍	1545.673
50	3884	요르 포저	1544.936
51	3944	카즈마	1543.762
52	4076	규태	1540.941
53	4094	레윈	1540.595
54	4183	카렌	1539.124
55	4230	재농	1538.405
56	4259	Jangeo	1537.837
57	4296	피클	1537.186
58	4403	Rv.Mt	1535.277
59	4409	마를린	1535.145
60	4504	리아	1533.127
61	4683	Hk	1529.865
62	4874	카나데	1527.131
63	4943	실크	1526.092
64	5427	마티	1519.04
65	5433	HunVGC	1518.958
66	5546	앙곰쪼	1517.743
67	5572	펭귄	1517.347
68	5750	리	1515.936
69	5852	펭굴	1514.979
70	5927	기태	1514.239
71	5948	시나	1514.076
72	6001	호리	1513.676
73	6077	마키	1512.961
74	6221	상진	1511.327
75	6258	까막눈	1510.632
76	6264	리아나	1510.543
77	6348	7dn	1509.647
78	6415	샤워	1508.91
79	6514	디지니	1507.572
80	6613	모야모팬클럽	1506.311
81	6686	니르호그	1505.171
82	6863	호철	1503.024
83	6965	진규	1501.977
84	7074	주니	1500.745
85	7238	우혁	1499.125
86	7262	세츠나	1498.791
87	7323	한빈	1498.114
88	7644	마인펄	1493.467
89	7668	수민	1493.06
90	7716	지우	1492.453
91	7796	휘웅	1491.32
92	7865	코른	1490.526
93	7907	닌하잠	1489.997
94	7927	토우지	1489.708
95	8011	멜리아	1488.929
96	8116	강글리온	1488.1
97	8174	인절미	1487.617
98	8213	두르	1487.297
99	8361	치토	1486.301
100	8461	땅콩빠따	1485.661
101	8485	무호	1485.511
102	8553	토다마코토	1484.99
103	8608	행운고객님	1484.589
104	8626	정원	1484.44
105	8640	오성	1484.352
106	8668	타르링	1484.156
107	9143	은갈	1480.425
108	9153	오트밀	1480.277
109	9202	상원	1479.787
110	9218	아오이	1479.578
111	9304	테나	1478.229
112	9308	안나	1478.199
113	9346	홍쓰 ★☆ 	1477.571
114	9413	Shiho	1476.66
115	9604	푸름	1474.074
116	9775	냐리	1472.163
117	9797	스칼렛	1472.016
118	9844	미서아	1471.56
119	9868	보민	1471.333
120	10094	윤서	1469.046
121	10101	건	1468.942
122	10250	솜사탕드래곤	1467.415
123	10385	홍설아	1465.958
124	10443	이브	1465.175
125	10470	곤충채집소녀	1464.685
126	10761	창순	1460.306
127	10897	방학동수정궁	1459.23
128	11066	위스키스	1457.954
129	11112	새미새미	1457.63
130	11224	주스맛버블	1457.02
131	11247	퐁퐁	1456.878
132	11313	재이	1456.565
133	11389	코랄	1456.105
134	11488	하이찬	1455.639
135	11515	설화	1455.518
136	11612	스칼렛 위치	1455.1
137	11793	화랑	1454.299
138	11835	준형	1454.09
139	11841	굉굉곰	1454.07
140	11850	푸름	1454.042
141	11853	재현	1454.038
142	11944	침묵	1453.665
143	11999	미월	1453.356
144	12047	캐비어	1453.188
145	12063	Jangeo	1453.102
146	12245	아트	1452.102
147	12247	Lee	1452.093
148	12315	코하루	1451.742
149	12503	아키	1450.132
150	12593	권혁주	1449.24
151	12604	한별	1449.175
152	12703	hak	1447.807
153	12732	강민서	1447.282
154	12770	리	1446.73
155	12817	지우	1446.044
156	12885	로터스	1445.131
157	12972	유성	1443.956
158	12980	Eccen	1443.74
159	13077	윤자뮤	1442.65
160	13158	현수	1441.952
161	13178	정현	1441.76
162	13228	상록수	1441.162
163	13323	Frost	1440.254
164	13490	겨울노을	1438.644
165	13546	샬	1437.92
166	13586	가로쉬	1437.383
167	13823	펜원	1433.44
168	13923	omh	1431.47
169	14029	뽀삐	1429.315
170	14061	쫑	1428.61
171	14253	malcha	1425.775
172	14380	햄츄	1423.557
173	14547	킴빌	1420.062
174	14565	바카	1419.573
175	14597	미스테리오	1418.869
176	14600	Snow	1418.841
177	14644	Ezic	1417.576
178	14752	핫삼	1414.289
179	14821	전문어	1412.573
180	14847	SiRya	1411.841
181	14851	오리	1411.707
182	14853	탐스♪	1411.676
183	14910	치클리스	1409.907
184	14915	강아지는야옹	1409.719
185	15102	메롯타	1402.734
186	15113	사유리	1402.443
187	15251	사기쿤	1396.673
188	15311	렝	1393.171
189	15489	유키	1382.552
190	15529	병콘	1379.932
191	15685	마요	1367.914
192	15702	습습이	1366.659
193	15854	후기	1350.512
194	15909	박건	1342.335
