Region Rank	Rank	Name	Rating
1	1	Edu	1818.464
2	2	Dave	1817.497
4	4	Taran	1805.757
8	12	Ciq	1777.37
9	13	Mr 305	1775.874
10	14	Neil	1775.158
11	15	Aaron	1774.818
12	18	Borghi	1762.454
13	19	FedeCampoVGC	1761.311
14	21	Yvar	1759.289
15	23	DmanVGC	1755.2
17	35	 Karina	1751.996
18	37	Ash	1751.264
19	47	Pedrielle	1749.112
21	88	AEsir	1744.846
22	115	marcofiero	1743.441
25	149	Nirinbo	1740.323
26	165	Shabarai	1738.388
27	172	Andrew	1737.787
28	185	SeaWolfMikes	1736.399
29	188	El Niño	1736.02
30	196	Charlie	1734.972
31	208	Solid Calf	1732.14
32	209	Hoej	1731.934
33	210	davidness	1731.771
35	214	Scarlet	1730.469
36	217	Daniel	1728.693
38	223	Polaris	1724.758
40	232	Catel	1721.593
41	233	Teenspirit	1720.948
42	235	raikoo	1720.26
45	245	EPOM	1715.999
46	248	Crown Up Boy	1715.028
47	249	Siddharth	1714.87
48	250	Midnite	1714.325
49	251	Sebastián	1714.099
51	255	TheXich	1713.519
53	258	Daorys	1713.014
55	260	Nontaro	1712.787
56	262	Inferno	1712.326
62	279	ck49	1708.123
63	280	VOVOMAXBEN10	1707.493
65	282	aric	1707.258
67	286	Aaron	1706.691
69	291	Jeremy	1706.013
70	292	Kono	1705.655
71	294	Toslowbro	1705.496
72	295	PokePhysio	1705.398
74	303	Mufasa	1704.186
78	314	Alexis	1702.199
79	315	Kylan	1701.767
80	316	Scarlet	1701.354
82	319	Takami$Chika	1700.628
84	322	SaugaGod	1700.068
86	327	Loafy	1699.539
88	329	River	1699.021
89	335	Alberto	1696.802
91	340	Busha	1696.442
92	341	Herlum	1696.415
93	344	Daviron	1695.776
95	349	Agni	1694.934
96	351	DaWoblefet	1694.435
97	352	Sean	1694.184
98	354	Roosa	1693.61
99	356	Sam	1693.338
100	358	Dirty Dan	1693.08
102	361	Tena 	1691.979
103	362	Jeet	1691.211
104	368	vegis	1690.246
106	371	Lil Bo Peep	1689.823
107	372	Droeloe	1689.601
109	375	James	1689.277
110	376	Modern	1689.024
111	377	SMOKE	1688.982
112	380	KENNETH	1687.313
116	390	Jeremy	1685.763
119	398	James	1683.945
120	399	KairoshiiiTV	1683.907
121	400	clifford	1683.849
122	404	Shinkai	1683.001
123	406	_b4b4baldi	1682.707
124	407	Dylan	1682.599
125	408	Soh	1682.589
126	417	BIG MIKE	1681.385
127	420	Emirnent	1680.923
129	424	Diego	1680.552
130	426	Dan Kuso	1680.099
131	427	Jesse	1679.924
133	430	heKtikVGC	1679.796
134	432	Sytker	1679.318
135	435	Xavi	1678.841
136	436	Matin	1678.827
137	437	Plopy	1678.423
