Region Rank	Rank	Name	Rating
37	222	DricsVG	1725.666
105	370	Kangourou	1690.088
118	395	Thurmos	1684.773
172	513	Didi	1669.586
175	519	Ksomon	1669.023
195	560	Dilaw	1663.719
229	650	Astora	1656.812
335	851	Bob's	1643.266
367	908	Flouflou	1639.924
422	1020	lenny	1631.606
460	1106	Alicia	1627.431
502	1196	Miloshine	1621.56
539	1270	Jé_	1617.961
606	1391	Karl	1613.624
672	1511	Romain	1609.861
687	1537	PJ	1609.153
748	1640	DarkGold	1605.23
961	2040	Georges	1590.571
1030	2176	Elias	1585.641
1239	2593	Woul	1574.359
1294	2691	Yuyakuchan	1571.674
1320	2735	Kelly	1569.915
1436	2958	Malder	1564.191
1443	2973	Jeremih	1563.806
1468	3024	Floufii	1562.797
1478	3042	Audrey	1562.495
1622	3302	Antoinette	1556.8
1787	3595	Sébastien	1549.918
1796	3618	Aykori	1549.567
1836	3696	Toto	1547.906
1892	3796	Shinoz	1546.168
1896	3804	Jio	1546.105
1906	3823	Crawlies	1545.87
1931	3874	TianBao	1545.106
1939	3893	Charles	1544.719
1993	3977	Jérémy	1543.053
2024	4030	Fraise	1542.125
2061	4095	TomaHawk	1540.786
2248	4467	Tnerolf	1534.208
2314	4593	Anirvan	1532.066
2337	4640	Rayy	1531.352
2398	4754	Quentin	1529.667
2419	4796	Mat	1528.974
2441	4840	MagicKey$	1528.103
2476	4917	Jimmy	1526.739
2514	4986	Kudo	1525.755
2542	5027	EtheriaDelta	1525.136
2570	5081	Kashou	1524.203
2608	5158	Skye	1523.021
2667	5267	Raphaël	1521.199
2712	5342	Guigui	1520.295
2729	5369	Flamboyant	1519.914
2767	5438	Luke	1519.042
2786	5476	Kalion	1518.434
2812	5519	Armand	1518.046
2854	5607	Omar	1517.143
2889	5675	Guacamou	1516.399
2898	5691	Loïc	1516.273
2974	5835	Luphena	1515.013
2998	5874	Marley	1514.603
3050	5965	Mélovia	1513.626
3107	6064	Ely	1512.719
3128	6106	Dorian	1512.345
3142	6133	TomBac	1511.986
3170	6201	Ectha'	1511.271
3191	6235	JAPANAX-31	1510.89
3212	6271	Jymann	1510.394
3256	6356	Peter	1509.35
3310	6479	Adri	1507.497
3328	6521	Gérémiah	1506.879
3402	6669	kayru	1504.634
3433	6724	Fire	1504.006
3436	6731	Aurel	1503.853
3443	6741	Theobalt	1503.738
3509	6848	LEO	1502.477
3536	6900	Ninof	1502.094
3541	6904	Waluigi	1502.014
3599	7002	Axelina	1500.919
3692	7153	Auré	1499.203
3703	7174	Nac	1498.89
3711	7190	Matth	1498.638
3811	7355	Thanatos	1496.583
3836	7398	Ray devy	1495.995
4009	7697	Nounou-Z	1491.622
4067	7797	Gregjedi	1490.079
4085	7828	Fred	1489.753
4133	7943	Louis	1488.513
4157	7988	Phantomatik	1488.064
4170	8011	Juni	1487.957
4206	8088	Hadrien	1487.334
4260	8205	Benny	1486.6
