Region Rank	Rank	Name	Rating
24	121	Michi	1743.145
52	256	Erebos	1713.514
58	268	Singi	1710.46
66	284	Tos	1706.807
77	313	King Blex	1702.437
117	394	Jannik	1684.871
132	429	Jannik	1679.807
159	487	Giottas	1672.454
171	510	Louis	1669.976
238	670	Goldjunge	1655.528
255	698	Pres	1653.615
297	780	Sebixxl	1647.809
328	843	gohan92	1643.665
349	881	Demo	1641.908
390	963	Sebastian	1636.185
423	1022	PICOLLO	1631.413
521	1223	Jost	1620.161
550	1294	Flobert	1617.201
558	1313	Tino	1616.591
573	1341	Isshki	1615.573
574	1342	AngoVGC	1615.486
624	1429	Don	1612.24
651	1470	Skylani	1610.92
669	1505	SinNed	1609.997
677	1517	Florian	1609.74
686	1533	AdiDerBoss01	1609.337
693	1547	Kevin	1608.797
712	1578	Simon	1607.405
775	1691	Dominik	1603.742
777	1693	∴D◎ΜΙ∵	1603.714
812	1765	Deniz	1601.344
832	1800	Ryovin	1600.277
839	1813	Zaimo	1599.917
848	1834	D	1598.886
891	1914	VYO	1596.084
948	2019	SiegEye	1591.925
956	2034	Choci	1591.161
960	2039	Hudi	1590.793
984	2082	Robin	1588.89
989	2088	René	1588.619
1002	2110	peter	1588.225
1013	2133	Lucky	1587.439
1043	2211	Pat	1584.529
1045	2216	Xemerron	1584.336
1142	2385	Liara	1579.687
1164	2433	NWE~Python	1578.196
1180	2464	Andi	1577.484
1237	2589	Sarah	1574.442
1247	2606	Matthi	1573.964
1318	2731	Maxi	1570.235
1322	2737	Juliner	1569.883
1381	2848	Benny	1566.666
1382	2849	Cactusmax	1566.613
1416	2912	Robert	1565.188
1420	2924	Alexander	1564.929
1423	2930	Kugelblitz	1564.775
1440	2965	GufiGufa	1563.939
1512	3097	Gressi	1561.377
1516	3101	Vit	1561.316
1518	3103	Philip	1561.265
1539	3153	PatrickGER	1560.358
1614	3289	Dr. Roland	1557.074
1664	3374	Daisuke	1555.234
1668	3378	Jürgen	1555.145
1704	3454	Pat	1553.325
1705	3456	Patrick	1553.302
1716	3477	Karlsberg	1552.922
1727	3493	Cyberman	1552.536
1734	3506	Salvy	1552.153
1744	3522	Norman	1551.716
1758	3542	F4TL	1551.229
1769	3565	Fritz	1550.547
1775	3576	Tommy	1550.314
1785	3589	Maik	1550.15
1793	3614	Sven	1549.616
1809	3641	Valerion	1548.982
1832	3688	Lexi	1548.132
1844	3710	Schomer	1547.666
1890	3793	Scarlet	1546.187
1923	3855	Sildurah	1545.433
1936	3883	Tobi	1544.903
1992	3974	Don	1543.137
2007	4000	Fabi	1542.583
2029	4047	Dariush	1541.726
2057	4090	Mayu	1540.856
2168	4297	KawaiiToxic	1537.142
2171	4301	Katja	1537.057
2175	4308	Steve	1536.977
2189	4339	anboxing	1536.317
2199	4370	Doc	1535.832
2238	4447	Donny	1534.608
2246	4464	Mareen	1534.353
2332	4624	Evan	1531.599
2341	4646	Sendymion	1531.296
2347	4656	JaschaSaeger	1531.16
2352	4664	Bianca	1531.02
2359	4676	Leon	1530.794
2378	4707	Tilzy	1530.32
2382	4724	Lisa	1530.166
2410	4774	robbe	1529.28
2414	4787	Paicky	1529.082
2416	4790	Maggi	1529.06
2425	4808	Maimai	1528.763
2436	4831	Wieselbee	1528.342
2445	4850	Paldea-Enty	1527.866
2485	4930	Yuna	1526.463
2488	4933	Kiwi	1526.377
2498	4955	Cedric	1526.124
2534	5015	Syrio	1525.334
2553	5050	Chiko	1524.769
2562	5068	Chris	1524.504
2574	5087	Drachii	1524.08
2597	5136	Miin	1523.386
2620	5181	Luca	1522.687
2637	5208	David	1522.295
2649	5234	Erik	1521.752
2679	5280	Toni	1521.037
2710	5336	Zodiac	1520.375
2721	5356	eneco226	1520.143
2733	5374	EntenghostGT	1519.844
2748	5406	Marcel	1519.461
2753	5417	-nY.Lotus	1519.322
2762	5428	Snomnie	1519.157
2764	5432	Tobi	1519.11
2801	5500	Luky aq	1518.187
2802	5504	Gerald	1518.169
2853	5605	Kozzy	1517.181
2857	5615	JULIA ♥★	1517.08
2870	5641	Paul	1516.737
2873	5647	Glenn	1516.675
2887	5671	KaPu	1516.441
2890	5676	Skylla	1516.395
2893	5686	Saminka	1516.321
2906	5714	Stefanie	1516.08
3008	5892	Henri	1514.315
3014	5899	Max	1514.26
3021	5913	Kohai	1514.121
3044	5952	Benji	1513.744
3048	5959	Dustin	1513.665
3055	5980	Alice Nakiri	1513.549
3085	6031	Tutters	1513.097
3087	6034	Jerome	1513.061
3132	6111	BadShape	1512.3
3133	6112	Clonraver	1512.299
3210	6268	Laurin	1510.426
3244	6338	Bananajoe	1509.524
3246	6343	JanniB	1509.471
3343	6553	Jojo	1506.345
3350	6571	Flo	1506.115
3364	6594	adel	1505.878
3410	6679	Danny	1504.508
3426	6712	Simon	1504.072
