Region Rank	Rank	Name	Rating
5	7	Puggiu	1790.682
6	9	marcofiero	1780.972
7	11	Lucy	1778.675
16	32	Mava	1752.417
54	259	Ferro01VGC	1712.836
57	264	Entity	1711.935
75	304	Lore	1704.074
83	320	Jane	1700.591
94	345	Diego	1695.462
115	386	Giulio	1686.249
141	444	A. Diprè	1677.862
156	482	Mozart9398	1673.593
173	514	FedeMitra9	1669.569
219	619	♥LOVE♥Deiv	1659.276
223	641	Gian	1657.366
245	684	Mr.PokEnjoy	1654.551
249	690	Aminko	1654.204
251	692	Leo	1654.18
266	718	Larchete	1651.95
270	724	PADØ	1651.397
295	774	Raider	1648.252
300	787	Diego	1647.152
302	794	AlexisVGC	1646.57
306	802	Cri >:(	1646.231
326	840	Bartolomao	1644.261
340	863	Olymak	1642.698
346	875	Tambu	1642.071
353	889	Mino	1641.234
362	900	Franci	1640.483
374	930	Lorenzaooooo	1638.537
380	940	Ale	1637.829
399	977	Paolo	1634.908
402	983	RIC	1634.472
405	987	Roberto	1634.235
420	1016	AlexVGC	1631.791
430	1034	Andrea	1630.934
431	1036	Markw	1630.674
471	1131	SC_presc	1625.73
475	1142	Dante	1625.227
487	1165	Dedekind	1623.847
530	1253	Azrael	1618.589
545	1281	gaaruccia	1617.524
553	1303	Goldor	1616.802
578	1347	BassotaraVGC	1615.325
593	1372	Noxill	1614.281
610	1396	Trev	1613.503
626	1431	Gjiero	1612.205
649	1467	Fadebruh	1611.02
661	1490	Triir	1610.463
664	1497	Tore	1610.283
728	1604	Yaya	1606.461
731	1607	JDart	1606.399
742	1628	Marco	1605.804
744	1630	Zenzero	1605.77
750	1645	Mema	1605.06
761	1669	Pisco	1604.384
800	1740	Tommee	1602.096
821	1781	Triad	1600.97
863	1862	Chad	1598.04
871	1880	Il Vacuo	1597.292
889	1911	Leonardo	1596.338
913	1952	Salvio	1594.527
936	1998	Ste	1592.78
939	2001	Eviovulpix	1592.606
947	2017	Tyran7	1591.983
965	2047	NikyuAlex	1590.315
1017	2146	Kirio	1586.979
1049	2221	Antonio	1584.234
1069	2261	Ψυχικ Ποισον	1582.907
1115	2338	Xeolnorz	1580.689
1132	2371	Samu	1579.98
1136	2375	RefAmici94	1579.912
1150	2410	Dorian	1579.005
1199	2508	MARCO	1576.44
1248	2611	SpaccaGoblin	1573.797
1264	2638	albo	1573.078
1273	2651	Zanmy	1572.825
1287	2676	Kenny94	1572.259
1296	2698	Michele	1571.379
1299	2703	Keter	1571.106
1326	2746	Funeralmoon	1569.622
1333	2755	Mirai	1569.375
1352	2797	Filippo	1568.0
